ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.849881718250875361e+06,4.656219172941935249e+06,3.287195500463122968e+06
-2.849881668250875082e+06,4.656219222941935062e+06,3.287195550463123247e+06
-2.849881618250875268e+06,4.656219272941934876e+06,3.287195600463123061e+06
-2.849881568250875454e+06,4.656219322941934690e+06,3.287195650463122874e+06
-2.849881518250875175e+06,4.656219372941934504e+06,3.287195700463123154e+06
-2.849881468250875361e+06,4.656219422941935249e+06,3.287195750463122968e+06
-2.849881418250875082e+06,4.656219472941935062e+06,3.287195800463123247e+06
-2.849881368250875268e+06,4.656219522941934876e+06,3.287195850463123061e+06
-2.849881318250875454e+06,4.656219572941934690e+06,3.287195900463122874e+06
-2.849881268250875175e+06,4.656219622941934504e+06,3.287195950463123154e+06
-2.849881218250875361e+06,4.656219672941935249e+06,3.287196000463122968e+06
-2.849881168250875082e+06,4.656219722941935062e+06,3.287196050463123247e+06
-2.849881118250875268e+06,4.656219772941934876e+06,3.287196100463123061e+06
-2.849881068250875454e+06,4.656219822941934690e+06,3.287196150463122874e+06
-2.849881018250875175e+06,4.656219872941934504e+06,3.287196200463123154e+06
-2.849880968250875361e+06,4.656219922941935249e+06,3.287196250463122968e+06
-2.849880918250875082e+06,4.656219972941935062e+06,3.287196300463123247e+06
-2.849880868250875268e+06,4.656220022941934876e+06,3.287196350463123061e+06
-2.849880818250875454e+06,4.656220072941934690e+06,3.287196400463122874e+06
-2.849880768250875175e+06,4.656220122941934504e+06,3.287196450463123154e+06
-2.849880718250875361e+06,4.656220172941935249e+06,3.287196500463122968e+06
-2.849880668250875082e+06,4.656220222941935062e+06,3.287196550463123247e+06
-2.849880618250875268e+06,4.656220272941934876e+06,3.287196600463123061e+06
-2.849880568250875454e+06,4.656220322941934690e+06,3.287196650463122874e+06
-2.849880518250875175e+06,4.656220372941934504e+06,3.287196700463123154e+06
-2.849880468250875361e+06,4.656220422941935249e+06,3.287196750463122968e+06
