gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849884552198525518e+06,4.656215355268556625e+06,3.287199863321287092e+06,5.048820041439767259e+00,4.984848847954880924e+00,4.935705821242849289e+00
-2.849876611779201776e+06,4.656208641863473691e+06,3.287182539707256015e+06,4.957685269285739160e+00,5.099018335894109022e+00,5.029535149372204472e+00
-2.849883998653655872e+06,4.656228381126641296e+06,3.287187517154899891e+06,4.995688385888164440e+00,4.970783687199724632e+00,5.040232152623165263e+00
-2.849880790240106173e+06,4.656211664326695725e+06,3.287183786425255239e+06,4.962099227507507315e+00,5.060527251140061189e+00,5.031199585682761821e+00
-2.849883412239859346e+06,4.656219874153246172e+06,3.287191760925909039e+06,4.996384109602729495e+00,5.019258098999581641e+00,5.019710033423379514e+00
-2.849881430295221973e+06,4.656208817900634371e+06,3.287193791477105580e+06,4.957248020703798552e+00,5.029548406098601099e+00,4.970878361226244380e+00
-2.849881238185481168e+06,4.656217587500105612e+06,3.287190549994380213e+06,4.971007957442895808e+00,4.939899382706935960e+00,5.094197672975441016e+00
-2.849878264319681562e+06,4.656219606649816036e+06,3.287189693182921503e+06,4.865010040384240675e+00,4.995738251952372977e+00,4.939607111040545284e+00
-2.849885392406882718e+06,4.656213144306875765e+06,3.287189476060650777e+06,4.964347850704347032e+00,4.928576022219519182e+00,5.023748349899595844e+00
-2.849886393787644804e+06,4.656215261526425369e+06,3.287196433810896706e+06,5.011334629218374914e+00,4.981012636475733224e+00,4.918601489037085273e+00
-2.849878692348151468e+06,4.656216498239365406e+06,3.287173722911602817e+06,5.115741699403296039e+00,5.021439614513021787e+00,4.989760514909683309e+00
-2.849880896736012772e+06,4.656214449538111687e+06,3.287196530819925480e+06,5.076840122256855103e+00,5.067093240198711435e+00,4.989694385773288055e+00
-2.849884821734209545e+06,4.656218227022402920e+06,3.287188331376978662e+06,4.876641773454866602e+00,4.933061132719451791e+00,5.048336533710590324e+00
-2.849890145336666610e+06,4.656221216321469285e+06,3.287190216120205354e+06,5.023210151463369577e+00,4.952540268799068279e+00,4.961241913226718481e+00
-2.849885771203612443e+06,4.656219085044862702e+06,3.287188537618506234e+06,5.034599492737737769e+00,5.076001812454494555e+00,4.891808856780543557e+00
-2.849881103423477150e+06,4.656217363001018763e+06,3.287197484413778409e+06,4.985305000185419111e+00,5.100230149717853934e+00,4.968624843196753460e+00
-2.849880911652015056e+06,4.656217593513043597e+06,3.287192603391126730e+06,5.055365680196149292e+00,4.937707418527256920e+00,4.979540145976257826e+00
-2.849883931023941375e+06,4.656213789768633433e+06,3.287196655184338801e+06,5.042964882752043465e+00,4.996424495158350965e+00,5.048234032752153766e+00
-2.849882486566220876e+06,4.656222243563482538e+06,3.287191791803169996e+06,5.023678970977815794e+00,5.107824441343278288e+00,4.908208107999626257e+00
-2.849880333363260608e+06,4.656221552591451444e+06,3.287198715179228224e+06,5.005602107278646962e+00,4.968171596988544714e+00,4.950220848003370477e+00
-2.849885794073142111e+06,4.656211378569508903e+06,3.287191055854056496e+06,4.916698500774986158e+00,5.056661710038462765e+00,5.111020089946927136e+00
-2.849891480133915320e+06,4.656216356384855695e+06,3.287205395590770990e+06,4.953725701753222133e+00,4.985258233619505042e+00,4.938992404034872052e+00
-2.849879863979590125e+06,4.656210660223240033e+06,3.287198568941679318e+06,4.859353366498487148e+00,4.941185311802963831e+00,4.969112452553104298e+00
-2.849881818880774081e+06,4.656213725799213164e+06,3.287209379702698439e+06,4.965909398927228935e+00,5.050430883288183459e+00,5.033268963116301897e+00
-2.849896728010788560e+06,4.656208106450400315e+06,3.287179316048638895e+06,4.972291605375954049e+00,5.097434467104171141e+00,5.080551661770485339e+00
-2.849874965341415256e+06,4.656218522297939286e+06,3.287177588457792997e+06,5.057493207431574156e+00,4.979488576902138419e+00,4.978466150475249208e+00
-2.849881308012808207e+06,4.656222791418266483e+06,3.287191825617994182e+06,5.012646445127970196e+00,5.046597762729109427e+00,4.978887811830737142e+00
-2.849882416795486584e+06,4.656216642845496535e+06,3.287200468253644649e+06,4.965263316457279252e+00,5.082494432582123522e+00,5.075208027955270040e+00
-2.849881254294738173e+06,4.656219258361592889e+06,3.287187862168419641e+06,5.066025476120679549e+00,4.978032596490486128e+00,5.046160659175835228e+00
