accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.007647379022522521e-01,1.008529684418714850e-01,-9.683418582287645293e+00
1.050125499882270524e-01,1.080749418737199374e-01,-9.692838368760201107e+00
1.161480619688060878e-01,9.861643829096237990e-02,-9.680395521201374365e+00
1.023760228686547147e-01,9.881228890715915147e-02,-9.693619287729760003e+00
1.048374347390363531e-01,8.790380908973711993e-02,-9.702580842138019079e+00
1.058359913354233739e-01,1.109874576487219350e-01,-9.692186438583712871e+00
1.136150835246094309e-01,9.349753221628137601e-02,-9.693547252605075215e+00
9.265922307315142825e-02,9.615249993881400115e-02,-9.696791414411377374e+00
9.460386220147584679e-02,8.474595531343222243e-02,-9.691800666129928743e+00
1.045219928957977357e-01,1.102900955955738588e-01,-9.700649853047947246e+00
1.044947639235859482e-01,1.051815362615520083e-01,-9.686343454335116121e+00
1.034083310204560180e-01,1.034200005568216008e-01,-9.697012083832948548e+00
9.049470109878966773e-02,1.051016337865242067e-01,-9.706157265072159035e+00
1.043009980858239510e-01,1.003456750723816793e-01,-9.688223315295788396e+00
1.166328725617594569e-01,1.110797928837214676e-01,-9.703247941970065682e+00
1.069870569492351181e-01,9.940033010902088462e-02,-9.700394436909185458e+00
9.251611793138402040e-02,7.558122703130526476e-02,-9.710376021671573099e+00
1.018528811164837594e-01,1.011651658208815863e-01,-9.682914748150279749e+00
8.977724316161544982e-02,1.212618858451889464e-01,-9.706200788334802709e+00
9.828003615844456420e-02,9.946064592670601778e-02,-9.699154781331731812e+00
9.827910802584566285e-02,1.024111308926731190e-01,-9.686690648653291547e+00
9.214851942872347157e-02,9.671797595121822688e-02,-9.697077868631618358e+00
1.017484900056061931e-01,1.138722394980992564e-01,-9.698602340939380895e+00
1.093838565779430561e-01,1.066020516142280605e-01,-9.684532539408266416e+00
1.016511794222415555e-01,1.069532962834294776e-01,-9.695276112538438795e+00
9.647138245196393291e-02,9.719741655598516938e-02,-9.697337175566470790e+00
1.169938809449831280e-01,9.240052202394749559e-02,-9.682374994177328276e+00
9.592440953387698643e-02,1.024087444288288018e-01,-9.692775024008376761e+00
1.059043039008765452e-01,8.188481857314096335e-02,-9.682469315842977764e+00
9.943915461292489322e-02,1.069676473244181719e-01,-9.706458516544905990e+00
9.206534033451950483e-02,9.291727184346044999e-02,-9.690699813298444099e+00
1.060411653708414476e-01,9.159655419830328715e-02,-9.694424727173091227e+00
9.394785883012682359e-02,1.023570655809560581e-01,-9.699901681070606685e+00
9.496962581898063527e-02,1.041457062558428792e-01,-9.695785397939728156e+00
9.679380645244019254e-02,9.188067897068830092e-02,-9.691139850434677072e+00
1.080277574683998626e-01,9.829290718038358188e-02,-9.695414995851797002e+00
1.108061398957788934e-01,8.898990443988706589e-02,-9.687731130794306367e+00
8.683420448479821363e-02,8.843759066365648736e-02,-9.689932661213834564e+00
9.130739130936434134e-02,9.411039786016729691e-02,-9.690546612113198677e+00
1.031840530541488637e-01,1.057994508011166207e-01,-9.690500399000905318e+00
