gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
9.999999999999998473e-03,9.999999999999998473e-03,1.000993248448781436e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000993923603903291e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000994531243512853e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000995078119161619e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000995570307245330e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000996013276520813e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000996411948868747e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000996770753981835e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000997093678583738e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000997384310725202e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000997645879652787e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000997881291687541e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000998093162518821e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000998283846266901e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000998455461640191e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000998609915476223e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000998748923928616e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000998874031535735e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000998986628382070e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999087965543843e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999179168989528e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999261252090555e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999335126881462e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999401614193296e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999461452773964e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999515307496424e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999563776746726e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999607399072211e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999646659164810e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999681993248380e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999713793923540e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999742414531113e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999768173078053e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999791355770263e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999812220193164e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999830998173934e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999847898356521e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999863108520849e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999876797668797e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999889117901986e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999900206111803e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999910185500674e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999919166950569e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999927250255617e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999934525230017e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999941072707067e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999946965436393e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999952268892557e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999957042003352e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999961337802979e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999965204022679e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999968683620445e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999971815258327e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999974633732492e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999977170359223e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999979453323441e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999981507990988e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999983357191958e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999985021472583e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999986519325446e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999987867392882e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999989080653663e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999990172588383e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999991155329383e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999992039796638e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999992835816954e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999993552235168e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999994197011667e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999994777310675e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999995299579481e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999995769621620e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999996192659403e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999996573393425e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999996916054080e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999997224448634e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999997502003680e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999997751803328e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999997976623135e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999998178960837e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999998361064769e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999998524958201e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999998672462254e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999998805216151e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999998924694445e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999032224963e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999129002482e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999216102232e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999294491971e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999365042648e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999428538523e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999485684633e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999537116203e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999583404509e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999625063985e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999662557727e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999696301934e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999726671774e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999754004754e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999778604277e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999800743723e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999820669473e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999838602506e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999854742306e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999869267931e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999882341207e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999894107084e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999904696303e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999914226635e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999922803951e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999930523643e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999937471152e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999943723928e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999949351604e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999954416531e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999958974840e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999963077336e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999966769671e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999970092702e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999973083376e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999975775090e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999978197508e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999980377808e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999982339972e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999984106026e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999985695332e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999987125832e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999988413336e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999989572053e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999990614775e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999991553402e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999992397882e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999993157985e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999993842238e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999994457923e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999995012146e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999995510947e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999995959833e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999996363954e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999996727396e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999997054779e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999997349299e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999997614331e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999997852896e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999998067658e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999998260748e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999998434831e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999998591328e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999998732193e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999998858847e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999998973067e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999075740e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999168288e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999251422e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999326207e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999393708e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999454282e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999508816e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999558021e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999602252e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999641865e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000999999999677748e+01
