ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
4.993524071238871542e+00,2.543960494150200313e-01,0.000000000000000000e+00
4.993080000762947890e+00,2.629678801319241810e-01,0.000000000000000000e+00
4.992620437626835717e+00,2.715532466954213020e-01,0.000000000000000000e+00
4.992145389664734090e+00,2.801506888250285821e-01,0.000000000000000000e+00
4.991654866240537558e+00,2.887588896244729364e-01,0.000000000000000000e+00
4.991148877898354819e+00,2.973766612462973580e-01,0.000000000000000000e+00
4.990627436065918410e+00,3.060029319894121969e-01,0.000000000000000000e+00
4.990090552804216983e+00,3.146367346863837011e-01,0.000000000000000000e+00
4.989538240597392260e+00,3.232771962515669228e-01,0.000000000000000000e+00
4.988970512177647088e+00,3.319235282740657378e-01,0.000000000000000000e+00
4.988387380380449265e+00,3.405750185510975081e-01,0.000000000000000000e+00
4.987788858025933969e+00,3.492310234677749037e-01,0.000000000000000000e+00
4.987174957822836596e+00,3.578909611387077749e-01,0.000000000000000000e+00
4.986545692291757703e+00,3.665543052352816522e-01,0.000000000000000000e+00
4.985901073704948061e+00,3.752205794300805808e-01,0.000000000000000000e+00
4.985241114040161570e+00,3.838893523967654708e-01,0.000000000000000000e+00
4.984565824946409762e+00,3.925602333098905383e-01,0.000000000000000000e+00
4.983875217719766937e+00,4.012328677946818134e-01,0.000000000000000000e+00
4.983169303287587226e+00,4.099069342818001394e-01,0.000000000000000000e+00
4.982448092199730283e+00,4.185821407266054339e-01,0.000000000000000000e+00
4.981711594625580553e+00,4.272582216564834723e-01,0.000000000000000000e+00
4.980959820355800538e+00,4.359349355134390924e-01,0.000000000000000000e+00
4.980192778807939646e+00,4.446120622624383789e-01,0.000000000000000000e+00
4.979410479035088599e+00,4.532894012389302452e-01,0.000000000000000000e+00
4.978612929736972781e+00,4.619667692116364854e-01,0.000000000000000000e+00
4.977800139272870794e+00,4.706439986390863472e-01,0.000000000000000000e+00
4.976972115675927455e+00,4.793209361005251190e-01,0.000000000000000000e+00
4.976128866668436679e+00,4.879974408837618460e-01,0.000000000000000000e+00
4.975270399677772737e+00,4.966733837142639496e-01,0.000000000000000000e+00
4.974396721852686554e+00,5.053486456113746028e-01,0.000000000000000000e+00
4.973507840079737896e+00,5.140231168589431965e-01,0.000000000000000000e+00
4.972603760999681377e+00,5.226966960789251049e-01,0.000000000000000000e+00
4.971684491023643737e+00,5.313692893976564857e-01,0.000000000000000000e+00
4.970750036348980494e+00,5.400408096955350290e-01,0.000000000000000000e+00
4.969800402974708931e+00,5.487111759317653270e-01,0.000000000000000000e+00
4.968835596716450809e+00,5.573803125366629807e-01,0.000000000000000000e+00
4.967855623220826189e+00,5.660481488647594039e-01,0.000000000000000000e+00
4.966860487979252170e+00,5.747146187026277442e-01,0.000000000000000000e+00
4.965850196341141221e+00,5.833796598259558541e-01,0.000000000000000000e+00
4.964824753526459133e+00,5.920432136009405877e-01,0.000000000000000000e+00
4.963784164637655039e+00,6.007052246255719652e-01,0.000000000000000000e+00
4.962728434670951927e+00,6.093656404068147348e-01,0.000000000000000000e+00
4.961657568527019890e+00,6.180244110700984228e-01,0.000000000000000000e+00
4.960571571021031190e+00,6.266814890978831265e-01,0.000000000000000000e+00
4.959470446892115802e+00,6.353368290943933738e-01,0.000000000000000000e+00
4.958354200812243207e+00,6.439903875739010353e-01,0.000000000000000000e+00
4.957222837394542836e+00,6.526421227702023931e-01,0.000000000000000000e+00
4.956076361201094294e+00,6.612919944651689530e-01,0.000000000000000000e+00
4.954914776750199756e+00,6.699399638344631924e-01,0.000000000000000000e+00
4.953738088523174987e+00,6.785859933087030615e-01,0.000000000000000000e+00
4.952546300970678494e+00,6.872300464485281424e-01,0.000000000000000000e+00
4.951339418518597491e+00,6.958720878321775771e-01,0.000000000000000000e+00
4.950117445573524400e+00,7.045120829543276564e-01,0.000000000000000000e+00
4.948880386527841679e+00,7.131499981350624129e-01,0.000000000000000000e+00
4.947628245764441601e+00,7.217858004379634762e-01,0.000000000000000000e+00
4.946361027661099641e+00,7.304194575964052527e-01,0.000000000000000000e+00
4.945078736594525459e+00,7.390509379472377516e-01,0.000000000000000000e+00
4.943781376944111017e+00,7.476802103711135405e-01,0.000000000000000000e+00
4.942468953095397133e+00,7.563072442387970273e-01,0.000000000000000000e+00
4.941141469443280698e+00,7.649320093628557693e-01,0.000000000000000000e+00
