gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849869732170298696e+06,4.656276020858072676e+06,3.287189400960845873e+06,-4.451548354907187033e+00,2.237186586926179999e+00,1.766820015613328881e-02
-2.849882485058175400e+06,4.656263022932605818e+06,3.287191189570243005e+06,-4.510119697702227981e+00,2.305932433646095348e+00,-4.598386686383747028e-03
-2.849876041838073172e+06,4.656259968221571296e+06,3.287185354725345969e+06,-4.507008588580241337e+00,2.282817472648068335e+00,1.192161593614012860e-01
-2.849867396181507967e+06,4.656267190876562148e+06,3.287192829500095919e+06,-4.501959893042471350e+00,2.249097216547703226e+00,-3.096614458300281023e-02
-2.849875076654554345e+06,4.656269654890172184e+06,3.287193288883176632e+06,-4.573900680983634892e+00,2.212546738710194916e+00,-6.807518913942919858e-04
-2.849865823197090533e+06,4.656267793274069205e+06,3.287186070766603574e+06,-4.527518058842542992e+00,2.193546083581727757e+00,7.874858211318876144e-02
-2.849871358204707969e+06,4.656265836911135353e+06,3.287196629920561798e+06,-4.561129946840590144e+00,2.195299972622184903e+00,-1.062414633348048865e-01
-2.849869063996167853e+06,4.656267638801475056e+06,3.287185485321116168e+06,-4.477324804544643655e+00,2.188475648299385234e+00,-2.567265017191669094e-02
-2.849861094669870567e+06,4.656271977979768999e+06,3.287191323766189162e+06,-4.438580419567732527e+00,2.202379064427838706e+00,-8.365586125332458156e-02
-2.849872743064193055e+06,4.656274579391479492e+06,3.287194494906226173e+06,-4.406725095291421646e+00,2.251926108040362973e+00,4.975625850413027684e-02
-2.849878768051244784e+06,4.656262532901039347e+06,3.287186686113588978e+06,-4.473832497854390411e+00,2.172754298406928353e+00,-2.625850642927562636e-02
-2.849879479984547943e+06,4.656267324621221982e+06,3.287193663768586237e+06,-4.513345289510135139e+00,2.224821867117691365e+00,9.857798613852231107e-02
-2.849868624547054525e+06,4.656271524837682024e+06,3.287190316743613221e+06,-4.526699179731146216e+00,2.141109381948516077e+00,3.067091945576114892e-02
-2.849872349702010397e+06,4.656269423322865739e+06,3.287199600341491867e+06,-4.547867522316344946e+00,2.171558979321155824e+00,-7.637946502188659725e-02
-2.849874308047173545e+06,4.656273027961659245e+06,3.287190201881792396e+06,-4.463649410182417121e+00,2.289544354414327909e+00,8.437763484509716236e-03
-2.849872814794311766e+06,4.656268130654620938e+06,3.287197277159622870e+06,-4.463346861540736121e+00,2.222642036770817953e+00,6.166727708918504774e-02
-2.849874782544895541e+06,4.656268543369808234e+06,3.287185573706541210e+06,-4.506263392237685572e+00,2.110966329105771866e+00,1.574696818120566166e-02
-2.849873911281021778e+06,4.656261440975975245e+06,3.287193244632592890e+06,-4.507977414517478465e+00,2.078529178953219869e+00,-5.427482331775707047e-02
-2.849872744293986354e+06,4.656266996732953005e+06,3.287189956497813575e+06,-4.521371396891040284e+00,2.221367337119456664e+00,9.705896883125639252e-02
-2.849867311234307475e+06,4.656277556654562242e+06,3.287184938768413849e+06,-4.590831354208265047e+00,2.067217757712714210e+00,2.482242525570821368e-02
-2.849880735490578692e+06,4.656267041671695188e+06,3.287200078592067119e+06,-4.546382147735624990e+00,2.168918571309271570e+00,-9.969478562784005182e-02
-2.849872436077709775e+06,4.656259922235086560e+06,3.287208912762369029e+06,-4.526443946024443221e+00,2.039590468276055280e+00,7.525485950485280573e-02
-2.849870904201035388e+06,4.656268631998720579e+06,3.287193938593997620e+06,-4.444097130929261397e+00,2.140001762484416314e+00,-6.937539519676380606e-02
-2.849871823849378619e+06,4.656267473456723616e+06,3.287187819677930791e+06,-4.593039371037216156e+00,2.048637130955937913e+00,9.927231220367672970e-02
-2.849873526955712121e+06,4.656266003333268687e+06,3.287190588014815468e+06,-4.533358256534060438e+00,2.099253612875231934e+00,8.805167260879552538e-02
-2.849878307508516125e+06,4.656269117088799365e+06,3.287196797258567065e+06,-4.580260704957845874e+00,2.068399874748913181e+00,2.109440589496302740e-02
-2.849871963263794314e+06,4.656271731575351208e+06,3.287205031351012178e+06,-4.478968673855133531e+00,2.125058722659610488e+00,1.394937510879391829e-02
-2.849862993987430353e+06,4.656263144187721424e+06,3.287191098979153205e+06,-4.485770735496237727e+00,2.056674534343728933e+00,-2.272080893952841546e-02
-2.849868669824714772e+06,4.656267707807785831e+06,3.287190633086900692e+06,-4.670183539772652992e+00,2.096163747927237253e+00,-8.471268748718420449e-02
-2.849871229207015131e+06,4.656271785914782435e+06,3.287189614457250573e+06,-4.587803439242746251e+00,2.100880068277835910e+00,-2.679577336533771597e-03
-2.849879988262817729e+06,4.656258949867022224e+06,3.287183375639235135e+06,-4.618302723996393411e+00,2.009224212865144299e+00,-7.457113147747872553e-03
-2.849872346910780761e+06,4.656264376788018271e+06,3.287185870666567236e+06,-4.578860229225873546e+00,2.049937919953448429e+00,4.827696147410798222e-02
-2.849874014002652839e+06,4.656265385506340303e+06,3.287179286860323045e+06,-4.527535239696750757e+00,1.994303288566873888e+00,-7.284122788570995821e-02
-2.849884624058412854e+06,4.656271577924055979e+06,3.287189665319228079e+06,-4.498754857612009772e+00,1.976850038082099026e+00,2.766456926009788417e-02
-2.849876288264697883e+06,4.656268932463859208e+06,3.287203151629182044e+06,-4.496183974366253722e+00,1.975176595050283535e+00,4.054043553808562433e-02
-2.849875616027688608e+06,4.656272351799766533e+06,3.287190582839180250e+06,-4.510592444356647412e+00,2.014190983492619047e+00,-4.297105905084069866e-02
-2.849877149272337556e+06,4.656264672972581349e+06,3.287197675968403462e+06,-4.552145318469762891e+00,2.062803244865608843e+00,-1.066047107131109367e-02
-2.849876202819633298e+06,4.656277027655944228e+06,3.287178038813932799e+06,-4.672995095455783954e+00,2.025660752581404989e+00,3.247624677624607464e-02
-2.849868950317442883e+06,4.656259636531300843e+06,3.287198111403179821e+06,-4.626406645326079925e+00,1.950904315880015449e+00,6.675011382262831250e-02
