ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.050000546875648588e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000492188083854e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.070000442969275412e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000398672347828e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.090000358805112946e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000322924601726e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.110000290632141606e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000261568927336e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.130000235412034471e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.140000211870830960e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.150000190683747903e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.160000171615373077e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.170000154453835606e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.180000139008452109e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.190000125107606799e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000112596846158e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.210000101337161560e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.220000091203445258e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.230000082083100743e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.240000073874790587e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000066487311479e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.260000059838580277e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.270000053854722388e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.280000048469250018e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.290000043622324988e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000039260092422e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.310000035334083179e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.320000031800674734e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.330000028620607289e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.340000025758546442e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.350000023182691677e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.360000020864422510e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.370000018777980166e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.380000016900182125e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.390000015210164008e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000013689147416e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.410000012320232621e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.420000011088209391e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.430000009979388231e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.440000008981449575e+01,0.000000000000000000e+00,0.000000000000000000e+00
