accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.223651593660278647e-02,9.636050516287881784e-01,-9.687584749250122584e+00
9.988268304639526252e-02,9.743566932070401032e-01,-9.691162092821851815e+00
9.580719063273566982e-02,9.741247338455074622e-01,-9.692220768097092432e+00
1.011727818121332251e-01,9.634427730189044636e-01,-9.700623326498567067e+00
9.787930477248572847e-02,9.767834747896726455e-01,-9.685647631006583325e+00
9.396014591129539517e-02,9.529424340943991600e-01,-9.684594592677633784e+00
9.965924269085663090e-02,9.759693078819129397e-01,-9.698284920862111136e+00
1.078521886814319958e-01,9.632010171365333884e-01,-9.701127194072114435e+00
1.104612482299791032e-01,9.822147586983087653e-01,-9.689828419545472471e+00
1.009694185968799812e-01,9.749589278874343234e-01,-9.699310498099730893e+00
1.085429011706730701e-01,9.812220857726753342e-01,-9.693947423358160620e+00
1.059923308203822301e-01,9.675808135477266259e-01,-9.697829996107650175e+00
9.848968919412093292e-02,9.855470218262867288e-01,-9.696459279737279502e+00
8.773699334182703813e-02,9.721693413460709143e-01,-9.686241334332011732e+00
1.030431771353427645e-01,9.745419795049655720e-01,-9.706804415396433683e+00
9.192978944763854909e-02,9.829642831105116496e-01,-9.692229463630948061e+00
1.004336988227146343e-01,9.634002793340018522e-01,-9.690239248749261236e+00
1.099494952717827018e-01,9.796500877685713204e-01,-9.700483928070626760e+00
9.394721852350394753e-02,9.846410955551982980e-01,-9.696380782908809337e+00
1.020974683160406210e-01,9.695335187704811064e-01,-9.691928760781623353e+00
1.134875212535405714e-01,9.773988064569881784e-01,-9.683211094209800862e+00
1.074977629882987173e-01,9.710139393451421297e-01,-9.695755062923071321e+00
1.011912325995947409e-01,9.776070224949898746e-01,-9.681748441360062074e+00
9.448834417826879051e-02,9.836884810197012996e-01,-9.679579594626313011e+00
9.948557469396687725e-02,9.807064577784019299e-01,-9.679658356951017950e+00
1.094774931817710517e-01,9.786041974090602391e-01,-9.686329752683354499e+00
1.001156540455814259e-01,9.721066656596851763e-01,-9.691230137913450449e+00
9.532189113997011076e-02,9.804105821104766028e-01,-9.698686104459417479e+00
9.918124793168803244e-02,9.827056082258254222e-01,-9.689474988404828792e+00
9.977934180197256531e-02,9.709101857477634434e-01,-9.693469016488618806e+00
1.097846732480501492e-01,9.660232748178096962e-01,-9.691208671274662123e+00
1.029597632445266586e-01,9.663607116018302357e-01,-9.692718623989195592e+00
1.036425552464882716e-01,9.810648874094377581e-01,-9.709625029836086441e+00
1.042657041964333009e-01,9.714388526378687772e-01,-9.695484278706091530e+00
1.077480790135872946e-01,9.615576869187988374e-01,-9.699614921511594545e+00
9.107619384970030985e-02,9.664899812106497734e-01,-9.683450661647386326e+00
1.090165863329522478e-01,9.707423911971432284e-01,-9.695288601814532115e+00
9.547051410980070263e-02,9.637523054705547931e-01,-9.691887752244378262e+00
9.169626678087862415e-02,9.724030554678022575e-01,-9.695876805674618737e+00
1.001076200544507161e-01,9.639449068222600836e-01,-9.699084145391008605e+00
9.446319975778312561e-02,9.867648490905580605e-01,-9.687409123391816479e+00
1.071840196462760519e-01,9.741118719207962906e-01,-9.696678595403829704e+00
1.074953840913767111e-01,9.721732767742068404e-01,-9.692137277616593494e+00
9.764864943619502857e-02,9.885601266739993953e-01,-9.705272786520245276e+00
8.832867533700035356e-02,9.638850247686000516e-01,-9.690893215120979676e+00
1.060478474383130948e-01,9.776276734565498838e-01,-9.688058095012252124e+00
9.477428752976438386e-02,9.645030526041038499e-01,-9.693365684363294932e+00
1.004976274820300469e-01,9.669079642990400236e-01,-9.693853453376419793e+00
1.104752539667877564e-01,9.645923318165400273e-01,-9.685337996391375270e+00
8.208113905553401923e-02,9.673287579892244636e-01,-9.692880046376911807e+00
9.883042847934764286e-02,9.808952127001994148e-01,-9.706765972740640791e+00
9.262699611827304724e-02,9.834260743682111672e-01,-9.676105530227374629e+00
8.555043068653872540e-02,9.705200109513670848e-01,-9.691160682525939762e+00
1.108735668576183164e-01,9.891151340242341217e-01,-9.705313733538124765e+00
9.467167582646338064e-02,9.803540931007004300e-01,-9.702901954757521708e+00
9.756156813557377572e-02,9.733834697456857921e-01,-9.698869247530073068e+00
9.658372618112570640e-02,9.756177188533625699e-01,-9.684493762059370070e+00
1.029728052398116989e-01,9.651011785928433895e-01,-9.711509002821422598e+00
1.156723357386158779e-01,9.781005881166874305e-01,-9.689086316350415728e+00
1.029785386506818362e-01,9.795262527631320992e-01,-9.690287583858030018e+00
8.631320390289341782e-02,9.675706392080533069e-01,-9.680981996353306585e+00
8.105977627127614049e-02,9.609646364685875408e-01,-9.683379775345505536e+00
1.036641023218683455e-01,9.705767446217922201e-01,-9.691409829393512254e+00
1.039578546464080683e-01,9.816754240354724770e-01,-9.695729516374154144e+00
1.124990211330382239e-01,9.821933742246479193e-01,-9.699256529425005269e+00
9.701806277989885596e-02,9.676333769841654053e-01,-9.694278600510376265e+00
9.299644100392157053e-02,9.726095831636906164e-01,-9.691340526384673026e+00
1.083822556353361000e-01,9.796032309260069848e-01,-9.699421789455019649e+00
9.847667387833299035e-02,9.617708251122775165e-01,-9.696705679015412471e+00
1.055595222050189630e-01,9.680676999983762743e-01,-9.696514398892320585e+00
9.055033705937583222e-02,9.678549663205037179e-01,-9.674183109729348473e+00
