ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000000000000000000e+00,0.000000000000000000e+00,9.999989866283820916e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999990879655438647e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999991791689895493e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999992612520905766e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999993351268814834e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999994016141933173e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999994614527739856e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999995153074966225e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999995637767469248e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999996073990722323e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999996466591650091e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999996819932484016e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999997137939235614e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999997424145311342e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999997681730780741e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999997913557702844e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999998122201933626e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999998309981739553e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999998478983565420e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999998631085210476e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999998767976688185e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999998891179020077e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999002061120024e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999101855006955e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999191669505905e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999272502556380e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999345252300387e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999410727070881e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999469654364148e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999522688927556e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999570420033734e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999613378030006e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999652040228781e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999686836206436e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999718152585260e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999746337326911e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999771703594220e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999794533234621e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999815079910093e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999833571919794e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999850214727815e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999865193254678e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999878673929032e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999890806536840e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999901725884044e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999911553295817e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999920397966591e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999928358169754e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999935522353667e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999941970118655e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999947773106967e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999952995795027e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999957696216413e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999961926594239e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999965733934459e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999969160541013e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999972244486557e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999975020037013e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999977518033489e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999979766231561e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999981789608583e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999983610647902e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999985249582224e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999986724624534e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999988052161726e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999989246944665e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999990322251620e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999991290025037e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999992161022533e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999992944919924e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999993650428465e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999994285385441e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999994856846541e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999995371162242e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999995834045308e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999996250641843e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999996625577481e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999996963019555e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999997266717955e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999997540047758e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999997786042982e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999998007437441e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999998206694940e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999998386025268e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999998547423274e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999998692681302e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999998823412284e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999998941071055e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999046963239e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999142268337e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999228041503e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999305236642e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999374711734e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999437241271e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999493516256e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999544165519e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999589750388e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999630773573e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999667696926e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999700927233e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999730833977e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999757751112e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999781975291e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999803778294e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999823401708e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999841060472e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999856953536e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999871258538e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999884133572e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999895720748e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999906147963e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999915534232e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999923979033e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999931581840e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999938422590e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999944579443e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999950121676e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999955109686e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999959598540e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999963639752e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999967274178e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999970548004e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999973493203e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999976143528e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999978529175e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999980676790e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999982607690e+00
