ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.849885568311691284e+06,4.656214281768812798e+06,3.287190600463123061e+06,4.998716059970531589e+00,1.133038030813002528e-01,0.000000000000000000e+00
-2.849885518324530683e+06,4.656214282901851460e+06,3.287190600463123061e+06,4.998531593881781809e+00,1.211689108874520471e-01,0.000000000000000000e+00
-2.849885468339215033e+06,4.656214284113540314e+06,3.287190600463123061e+06,4.998332534134117822e+00,1.291196275413219463e-01,0.000000000000000000e+00
-2.849885418355889618e+06,4.656214285404736176e+06,3.287190600463123061e+06,4.998118707002207728e+00,1.371473321453112459e-01,0.000000000000000000e+00
-2.849885368374702521e+06,4.656214286776210181e+06,3.287190600463123061e+06,4.997889965183114569e+00,1.452442629569976329e-01,0.000000000000000000e+00
-2.849885318395802751e+06,4.656214288228652440e+06,3.287190600463123061e+06,4.997646184675381242e+00,1.534034315118408542e-01,0.000000000000000000e+00
-2.849885268419340719e+06,4.656214289762686938e+06,3.287190600463123061e+06,4.997387261940518854e+00,1.616185453301727248e-01,0.000000000000000000e+00
-2.849885218445468228e+06,4.656214291378872469e+06,3.287190600463123061e+06,4.997113111336451752e+00,1.698839383500748423e-01,0.000000000000000000e+00
-2.849885168474337086e+06,4.656214293077711947e+06,3.287190600463123061e+06,4.996823662808889566e+00,1.781945083136684538e-01,0.000000000000000000e+00
-2.849885118506100494e+06,4.656214294859657064e+06,3.287190600463123061e+06,4.996518859824466752e+00,1.865456604116449701e-01,0.000000000000000000e+00
-2.849885068540912122e+06,4.656214296725112945e+06,3.287190600463123061e+06,4.996198657528216458e+00,1.949332565604169898e-01,0.000000000000000000e+00
-2.849885018578925170e+06,4.656214298674445599e+06,3.287190600463123061e+06,4.995863021107604496e+00,2.033535697488519922e-01,0.000000000000000000e+00
-2.849884968620295171e+06,4.656214300707981922e+06,3.287190600463123061e+06,4.995511924345368726e+00,2.118032429478625689e-01,0.000000000000000000e+00
-2.849884918665175792e+06,4.656214302826014347e+06,3.287190600463123061e+06,4.995145348343975833e+00,2.202792521267998571e-01,0.000000000000000000e+00
-2.849884868713722564e+06,4.656214305028806441e+06,3.287190600463123061e+06,4.994763280405220662e+00,2.287788729661949794e-01,0.000000000000000000e+00
-2.849884818766089622e+06,4.656214307316594757e+06,3.287190600463123061e+06,4.994365713049451649e+00,2.372996508974291319e-01,0.000000000000000000e+00
-2.849884768822432496e+06,4.656214309689591639e+06,3.287190600463123061e+06,4.993952643159925486e+00,2.458393741368417318e-01,0.000000000000000000e+00
-2.849884718882906251e+06,4.656214312147985213e+06,3.287190600463123061e+06,4.993524071238871542e+00,2.543960494150200313e-01,0.000000000000000000e+00
-2.849884668947665486e+06,4.656214314691945910e+06,3.287190600463123061e+06,4.993080000762947890e+00,2.629678801319241810e-01,0.000000000000000000e+00
-2.849884619016865268e+06,4.656214317321624607e+06,3.287190600463123061e+06,4.992620437626835717e+00,2.715532466954213020e-01,0.000000000000000000e+00
-2.849884569090661127e+06,4.656214320037157275e+06,3.287190600463123061e+06,4.992145389664734090e+00,2.801506888250285821e-01,0.000000000000000000e+00
