q0 (),q1,q2,q3
9.985364308000475031e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.408323552730504025e-02
9.984888784044972931e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.495416001113206245e-02
9.984405639153715040e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.582508690861911343e-02
9.983914875048176540e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.669601112880361810e-02
9.983416493354994037e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.756692802360398320e-02
9.982910495612560275e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.843783334352724984e-02
9.982396883277312449e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.930872319780652185e-02
9.981875657729690765e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.017959401852520512e-02
9.981346820279791698e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.105044252832939750e-02
9.980810372172702616e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.192126571136948032e-02
9.980266314593529975e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.279206078714806571e-02
9.979714648672133315e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.366282518698360149e-02
9.979155375487568369e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.453355653282796811e-02
9.978588496072249292e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.540425261820287384e-02
9.978014011415845541e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.627491139104281503e-02
9.977431922468926739e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.714553093825427477e-02
9.976842230146357737e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.801610947181915834e-02
9.976244935330467190e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.888664531628838072e-02
9.975640038873996307e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.975713689752625901e-02
9.975027541602842218e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.062758273258087915e-02
9.974407444318605931e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.149798142056755512e-02
9.973779747800951556e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.236833163446433625e-02
9.973144452809805660e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.323863211372808046e-02
9.972501560087381201e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.410888165764920044e-02
9.971851070360061575e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.497907911937122527e-02
9.971192984340137011e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.584922340050839762e-02
9.970527302727414387e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.671931344630192329e-02
9.969854026210697162e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.758934824126066665e-02
9.969173155469157610e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.845932680523792779e-02
9.968484691173604695e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.932924818990071125e-02
