ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.218356485513884024e+01,-7.905041824459785538e+00,3.626507057775879872e+01
3.216971894539727828e+01,-7.961200663564119928e+00,3.626507057775879872e+01
3.215577504090943251e+01,-8.017335252427240988e+00,3.626507057775879872e+01
3.214173318416967362e+01,-8.073445419957469227e+00,3.626507057775879872e+01
3.212759341796905233e+01,-8.129530995147140615e+00,3.626507057775879872e+01
3.211335578539526381e+01,-8.185591807072173154e+00,3.626507057775879872e+01
3.209902032983269748e+01,-8.241627684891705385e+00,3.626507057775879872e+01
3.208458709496244410e+01,-8.297638457847847704e+00,3.626507057775879872e+01
3.207005612476225309e+01,-8.353623955265486956e+00,3.626507057775879872e+01
3.205542746350651839e+01,-8.409584006552188740e+00,3.626507057775879872e+01
3.204070115576625000e+01,-8.465518441198133459e+00,3.626507057775879872e+01
3.202587724640901712e+01,-8.521427088776132308e+00,3.626507057775879872e+01
3.201095578059889135e+01,-8.577309778941673457e+00,3.626507057775879872e+01
3.199593680379641469e+01,-8.633166341433051727e+00,3.626507057775879872e+01
3.198082036175846454e+01,-8.688996606071476947e+00,3.626507057775879872e+01
3.196560650053823238e+01,-8.744800402761295999e+00,3.626507057775879872e+01
3.195029526648512785e+01,-8.800577561490177558e+00,3.626507057775879872e+01
3.193488670624465797e+01,-8.856327912329380325e+00,3.626507057775879872e+01
3.191938086675837027e+01,-8.912051285434007042e+00,3.626507057775879872e+01
3.190377779526372493e+01,-8.967747511043320685e+00,3.626507057775879872e+01
3.188807753929399524e+01,-9.023416419481048223e+00,3.626507057775879872e+01
3.187228014667816112e+01,-9.079057841155734110e+00,3.626507057775879872e+01
3.185638566554079532e+01,-9.134671606561076018e+00,3.626507057775879872e+01
3.184039414430194270e+01,-9.190257546276322742e+00,3.626507057775879872e+01
3.182430563167698878e+01,-9.245815490966638350e+00,3.626507057775879872e+01
3.180812017667654956e+01,-9.301345271383512525e+00,3.626507057775879872e+01
3.179183782860634011e+01,-9.356846718365174453e+00,3.626507057775879872e+01
3.177545863706703955e+01,-9.412319662837001388e+00,3.626507057775879872e+01
3.175898265195415249e+01,-9.467763935811960962e+00,3.626507057775879872e+01
3.174240992345788470e+01,-9.523179368391039290e+00,3.626507057775879872e+01
3.172574050206299745e+01,-9.578565791763697490e+00,3.626507057775879872e+01
3.170897443854867603e+01,-9.633923037208310447e+00,3.626507057775879872e+01
3.169211178398836282e+01,-9.689250936092642874e+00,3.626507057775879872e+01
3.167515258974964709e+01,-9.744549319874295179e+00,3.626507057775879872e+01
3.165809690749408389e+01,-9.799818020101181304e+00,3.626507057775879872e+01
3.164094478917706965e+01,-9.855056868412004789e+00,3.626507057775879872e+01
3.162369628704768942e+01,-9.910265696536720625e+00,3.626507057775879872e+01
3.160635145364854992e+01,-9.965444336297034411e+00,3.626507057775879872e+01
3.158891034181563384e+01,-1.002059261960686776e+01,3.626507057775879872e+01
3.157137300467815777e+01,-1.007571037847285567e+01,3.626507057775879872e+01
3.155373949565839453e+01,-1.013079744499482970e+01,3.626507057775879872e+01
3.153600986847153465e+01,-1.018585365136630116e+01,3.626507057775879872e+01
3.151818417712551224e+01,-1.024087882987497089e+01,3.626507057775879872e+01
3.150026247592084516e+01,-1.029587281290320533e+01,3.626507057775879872e+01
3.148224481945049291e+01,-1.035083543292853925e+01,3.626507057775879872e+01
3.146413126259966475e+01,-1.040576652252416956e+01,3.626507057775879872e+01
3.144592186054567762e+01,-1.046066591435945625e+01,3.626507057775879872e+01
3.142761666875778204e+01,-1.051553344120041622e+01,3.626507057775879872e+01
3.140921574299699870e+01,-1.057036893591022242e+01,3.626507057775879872e+01
3.139071913931594082e+01,-1.062517223144971013e+01,3.626507057775879872e+01
