accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.113332679771853240e+00,1.083758095535841015e+00,-8.684906410766682683e+00
1.097840654038490404e+00,1.089931355775119126e+00,-8.687364709439831856e+00
1.108145728942211861e+00,1.113615420834479508e+00,-8.693975019899193413e+00
1.115140363325629602e+00,1.096125406044832440e+00,-8.694363863623287614e+00
1.097370556159416699e+00,1.097521747156943617e+00,-8.677583560208471880e+00
1.098875498586009192e+00,1.100116110841405703e+00,-8.714402613895190441e+00
1.097806400042725006e+00,1.101753571178955671e+00,-8.695177902483644417e+00
1.108155358963011539e+00,1.096885439345474111e+00,-8.697279967766956332e+00
1.107940590048711593e+00,1.093051597335803260e+00,-8.690900240687428280e+00
1.075004819548449619e+00,1.105199878367894462e+00,-8.691562098123366553e+00
1.096682985464063398e+00,1.099074758900595583e+00,-8.686509149464855639e+00
1.114477667169984088e+00,1.108739881322249321e+00,-8.704936271368886480e+00
1.095762277797699635e+00,1.097113173885922555e+00,-8.679789752486801291e+00
1.095796358840375628e+00,1.107175954655416517e+00,-8.691653242847998229e+00
1.096894592875640839e+00,1.109048972715011683e+00,-8.673552338112527238e+00
1.103150717061077701e+00,1.100188845577251273e+00,-8.685382400113537571e+00
1.115167079015818574e+00,1.093041308639765008e+00,-8.688615429714104721e+00
1.093657321740173272e+00,1.091954777944958099e+00,-8.699184812213321294e+00
1.096205103816459969e+00,1.108341517815778499e+00,-8.692022097129198599e+00
1.095801979155978545e+00,1.103629649290795545e+00,-8.696098267108634872e+00
1.098606998984730021e+00,1.102779842914511921e+00,-8.699959926519200692e+00
1.087547104557893718e+00,1.107306096523450245e+00,-8.697034603889397530e+00
1.105523329018609058e+00,1.093886487548023645e+00,-8.704511175668647738e+00
1.124631445435451349e+00,1.113874176991108689e+00,-8.683880631964937535e+00
1.089580068240313171e+00,1.094554882925264261e+00,-8.694154652759333857e+00
1.105494403175578899e+00,1.099726900334189184e+00,-8.682501750586146372e+00
