ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.849885598450876307e+06,4.656215292741933838e+06,3.287191620263122022e+06
-2.849885584150876384e+06,4.656215307041933760e+06,3.287191634563121945e+06
-2.849885569750876166e+06,4.656215321441934444e+06,3.287191648963122163e+06
-2.849885555250876117e+06,4.656215335941934027e+06,3.287191663463122211e+06
-2.849885540650875773e+06,4.656215350541934371e+06,3.287191678063122556e+06
-2.849885525950876065e+06,4.656215365241934545e+06,3.287191692763122264e+06
-2.849885511150875594e+06,4.656215380041934550e+06,3.287191707563122734e+06
-2.849885496250875760e+06,4.656215394941934384e+06,3.287191722463122569e+06
-2.849885481250875629e+06,4.656215409941934049e+06,3.287191737463122699e+06
-2.849885466150875669e+06,4.656215425041934475e+06,3.287191752563122660e+06
-2.849885450950875413e+06,4.656215440241934732e+06,3.287191767763122916e+06
-2.849885435650875792e+06,4.656215455541934818e+06,3.287191783063122537e+06
-2.849885420250875410e+06,4.656215470941934735e+06,3.287191798463122919e+06
-2.849885404750875663e+06,4.656215486441934481e+06,3.287191813963122666e+06
-2.849885389150875621e+06,4.656215502041934989e+06,3.287191829563122708e+06
-2.849885373450875282e+06,4.656215517741934396e+06,3.287191845263123047e+06
-2.849885357650875580e+06,4.656215533541934565e+06,3.287191861063122749e+06
-2.849885341750875581e+06,4.656215549441934563e+06,3.287191876963122748e+06
-2.849885325750875287e+06,4.656215565441934392e+06,3.287191892963123042e+06
-2.849885309650875628e+06,4.656215581541934982e+06,3.287191909063122701e+06
-2.849885293450875208e+06,4.656215597741934471e+06,3.287191925263123121e+06
-2.849885277150875423e+06,4.656215614041934721e+06,3.287191941563122906e+06
-2.849885260750875343e+06,4.656215630441934802e+06,3.287191957963122986e+06
-2.849885244250875432e+06,4.656215646941934712e+06,3.287191974463122897e+06
-2.849885227650875226e+06,4.656215663541934453e+06,3.287191991063123103e+06
-2.849885210950875189e+06,4.656215680241934955e+06,3.287192007763123140e+06
-2.849885194150875323e+06,4.656215697041934356e+06,3.287192024563123006e+06
-2.849885177250875160e+06,4.656215713941934519e+06,3.287192041463123169e+06
-2.849885160250875168e+06,4.656215730941934511e+06,3.287192058463123161e+06
-2.849885143150875345e+06,4.656215748041935265e+06,3.287192075563122984e+06
-2.849885125950875226e+06,4.656215765241934918e+06,3.287192092763123102e+06
-2.849885108650875278e+06,4.656215782541934401e+06,3.287192110063123051e+06
-2.849885091250875499e+06,4.656215799941934645e+06,3.287192127463122830e+06
-2.849885073750875425e+06,4.656215817441934720e+06,3.287192144963122904e+06
-2.849885056150875520e+06,4.656215835041934624e+06,3.287192162563122809e+06
-2.849885038450875320e+06,4.656215852741935290e+06,3.287192180263123009e+06
-2.849885020650875289e+06,4.656215870541934855e+06,3.287192198063123040e+06
-2.849885002750875428e+06,4.656215888441935182e+06,3.287192215963122901e+06
-2.849884984750875272e+06,4.656215906441934407e+06,3.287192233963123057e+06
-2.849884966650875285e+06,4.656215924541935325e+06,3.287192252063123044e+06
-2.849884948450875469e+06,4.656215942741935141e+06,3.287192270263122860e+06
-2.849884930150875356e+06,4.656215961041934788e+06,3.287192288563122973e+06
-2.849884911750875413e+06,4.656215979441935197e+06,3.287192306963122915e+06
-2.849884893250875175e+06,4.656215997941934504e+06,3.287192325463123154e+06
-2.849884874650875106e+06,4.656216016541934572e+06,3.287192344063123222e+06
-2.849884855950875208e+06,4.656216035241934471e+06,3.287192362763123121e+06
-2.849884837150875479e+06,4.656216054041935131e+06,3.287192381563122850e+06
-2.849884818250875454e+06,4.656216072941934690e+06,3.287192400463122874e+06
