ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.958254420820707997e-01,9.958254420820707997e-01,-8.798391028317285034e+00
9.962428978738636642e-01,9.962428978738636642e-01,-8.797973572525492614e+00
9.966186080864772867e-01,9.966186080864772867e-01,-8.797597862312878547e+00
9.969567472778295691e-01,9.969567472778295691e-01,-8.797259723121525710e+00
9.972610725500465900e-01,9.972610725500465900e-01,-8.796955397849309577e+00
9.975349652950419310e-01,9.975349652950419310e-01,-8.796681505104313459e+00
9.977814687655377490e-01,9.977814687655377490e-01,-8.796435001633817308e+00
9.980033218889839963e-01,9.980033218889839963e-01,-8.796213148510371838e+00
9.982029897000855856e-01,9.982029897000855856e-01,-8.796013480699269138e+00
9.983826907300770159e-01,9.983826907300770159e-01,-8.795833779669278485e+00
9.985444216570693587e-01,9.985444216570693587e-01,-8.795672048742286364e+00
9.986899794913624007e-01,9.986899794913624007e-01,-8.795526490907992212e+00
9.988209815422262050e-01,9.988209815422262050e-01,-8.795395488857129962e+00
9.989388833880036289e-01,9.989388833880036289e-01,-8.795277587011351983e+00
9.990449950492032993e-01,9.990449950492032993e-01,-8.795171475350151979e+00
9.991404955442829694e-01,9.991404955442829694e-01,-8.795075974855071976e+00
9.992264459898546614e-01,9.992264459898546614e-01,-8.794990024409500506e+00
9.993038013908691619e-01,9.993038013908691619e-01,-8.794912669008486006e+00
9.993734212517821902e-01,9.993734212517821902e-01,-8.794843049147573311e+00
9.994360791266039268e-01,9.994360791266039268e-01,-8.794780391272752240e+00
9.994924712139435785e-01,9.994924712139435785e-01,-8.794723999185411145e+00
9.995432240925492540e-01,9.995432240925492540e-01,-8.794673246306805581e+00
9.995889016832942842e-01,9.995889016832942842e-01,-8.794627568716061106e+00
9.996300115149648891e-01,9.996300115149648891e-01,-8.794586458884390723e+00
9.996670103634683890e-01,9.996670103634683890e-01,-8.794549460035886668e+00
9.997003093271215057e-01,9.997003093271215057e-01,-8.794516161072234439e+00
9.997302783944093107e-01,9.997302783944093107e-01,-8.794486192004946190e+00
9.997572505549683353e-01,9.997572505549683353e-01,-8.794459219844387832e+00
9.997815254994715239e-01,9.997815254994715239e-01,-8.794434944899883533e+00
9.998033729495243715e-01,9.998033729495243715e-01,-8.794413097449831795e+00
9.998230356545719788e-01,9.998230356545719788e-01,-8.794393434744783633e+00
9.998407320891147254e-01,9.998407320891147254e-01,-8.794375738310240109e+00
9.998566588802032529e-01,9.998566588802032529e-01,-8.794359811519152359e+00
9.998709929921829609e-01,9.998709929921829609e-01,-8.794345477407173206e+00
9.998838936929647092e-01,9.998838936929647092e-01,-8.794332576706390014e+00
9.998955043236682494e-01,9.998955043236682494e-01,-8.794320966075687807e+00
9.999059538913014356e-01,9.999059538913014356e-01,-8.794310516508053510e+00
9.999153585021712809e-01,9.999153585021712809e-01,-8.794301111897183887e+00
9.999238226519541195e-01,9.999238226519541195e-01,-8.794292647747401048e+00
9.999314403867587409e-01,9.999314403867587409e-01,-8.794285030012597204e+00
9.999382963480828446e-01,9.999382963480828446e-01,-8.794278174051273211e+00
9.999444667132745268e-01,9.999444667132745268e-01,-8.794272003686080197e+00
9.999500200419471074e-01,9.999500200419471074e-01,-8.794266450357408615e+00
9.999550180377524411e-01,9.999550180377524411e-01,-8.794261452361602949e+00
9.999595162339771637e-01,9.999595162339771637e-01,-8.794256954165378559e+00
9.999635646105794473e-01,9.999635646105794473e-01,-8.794252905788775720e+00
9.999672081495214471e-01,9.999672081495214471e-01,-8.794249262249834942e+00
9.999704873345692802e-01,9.999704873345692802e-01,-8.794245983064786998e+00
9.999734386011123188e-01,9.999734386011123188e-01,-8.794243031798243848e+00
9.999760947410011314e-01,9.999760947410011314e-01,-8.794240375658354480e+00
9.999784852669010293e-01,9.999784852669010293e-01,-8.794237985132454583e+00
9.999806367402108709e-01,9.999806367402108709e-01,-8.794235833659143964e+00
9.999825730661897616e-01,9.999825730661897616e-01,-8.794233897333166183e+00
9.999843157595708076e-01,9.999843157595708076e-01,-8.794232154639784582e+00
9.999858841836136714e-01,9.999858841836136714e-01,-8.794230586215741496e+00
9.999872957652522487e-01,9.999872957652522487e-01,-8.794229174634104140e+00
9.999885661887270016e-01,9.999885661887270016e-01,-8.794227904210629276e+00
9.999897095698543348e-01,9.999897095698543348e-01,-8.794226760829500833e+00
9.999907386128689124e-01,9.999907386128689124e-01,-8.794225731786486477e+00
9.999916647515819657e-01,9.999916647515819657e-01,-8.794224805647774090e+00
9.999924982764237802e-01,9.999924982764237802e-01,-8.794223972122932054e+00
9.999932484487813467e-01,9.999932484487813467e-01,-8.794223221950574043e+00
9.999939236039031565e-01,9.999939236039031565e-01,-8.794222546795452899e+00
9.999945312435127853e-01,9.999945312435127853e-01,-8.794221939155843160e+00
9.999950781191615512e-01,9.999950781191615512e-01,-8.794221392280194394e+00
9.999955703072453961e-01,9.999955703072453961e-01,-8.794220900092110327e+00
9.999960132765208787e-01,9.999960132765208787e-01,-8.794220457122834844e+00
9.999964119488687908e-01,9.999964119488687908e-01,-8.794220058450486377e+00
9.999967707539818562e-01,9.999967707539818562e-01,-8.794219699645374533e+00
9.999970936785836928e-01,9.999970936785836928e-01,-8.794219376720771919e+00
9.999973843107252680e-01,9.999973843107252680e-01,-8.794219086088629567e+00
9.999976458796527856e-01,9.999976458796527856e-01,-8.794218824519703048e+00
9.999978812916875404e-01,9.999978812916875404e-01,-8.794218589107668294e+00
9.999980931625187530e-01,9.999980931625187530e-01,-8.794218377236836304e+00
9.999982838462668777e-01,9.999982838462668777e-01,-8.794218186553088401e+00
9.999984554616402344e-01,9.999984554616402344e-01,-8.794218014937715822e+00
9.999986099154761776e-01,9.999986099154761776e-01,-8.794217860483879434e+00
9.999987489239285932e-01,9.999987489239285932e-01,-8.794217721475426686e+00
9.999988740315357560e-01,9.999988740315357560e-01,-8.794217596367818857e+00
9.999989866283821582e-01,9.999989866283821582e-01,-8.794217483770973232e+00
9.999990879655439313e-01,9.999990879655439313e-01,-8.794217382433812347e+00
9.999991791689895049e-01,9.999991791689895049e-01,-8.794217291230365774e+00
9.999992612520905988e-01,9.999992612520905988e-01,-8.794217209147264569e+00
9.999993351268815500e-01,9.999993351268815500e-01,-8.794217135272473840e+00
9.999994016141934283e-01,9.999994016141934283e-01,-8.794217068785162184e+00
9.999994614527740744e-01,9.999994614527740744e-01,-8.794217008946581871e+00
9.999995153074966447e-01,9.999995153074966447e-01,-8.794216955091858523e+00
9.999995637767469248e-01,9.999995637767469248e-01,-8.794216906622608576e+00
9.999996073990722323e-01,9.999996073990722323e-01,-8.794216863000283269e+00
9.999996466591649646e-01,9.999996466591649646e-01,-8.794216823740191202e+00
9.999996819932485126e-01,9.999996819932485126e-01,-8.794216788406107099e+00
9.999997137939236058e-01,9.999997137939236058e-01,-8.794216756605431229e+00
9.999997424145312674e-01,9.999997424145312674e-01,-8.794216727984824900e+00
9.999997681730781185e-01,9.999997681730781185e-01,-8.794216702226277604e+00
9.999997913557703288e-01,9.999997913557703288e-01,-8.794216679043584506e+00
9.999998122201932960e-01,9.999998122201932960e-01,-8.794216658179161428e+00
9.999998309981739109e-01,9.999998309981739109e-01,-8.794216639401181368e+00
9.999998478983564976e-01,9.999998478983564976e-01,-8.794216622500998781e+00
9.999998631085208478e-01,9.999998631085208478e-01,-8.794216607290834986e+00
9.999998767976687741e-01,9.999998767976687741e-01,-8.794216593601687393e+00
9.999998891179019411e-01,9.999998891179019411e-01,-8.794216581281453671e+00
9.999999002061117359e-01,9.999999002061117359e-01,-8.794216570193244209e+00
9.999999101855006067e-01,9.999999101855006067e-01,-8.794216560213854450e+00
9.999999191669505239e-01,9.999999191669505239e-01,-8.794216551232404200e+00
9.999999272502554382e-01,9.999999272502554382e-01,-8.794216543149099508e+00
9.999999345252298388e-01,9.999999345252298388e-01,-8.794216535874125995e+00
9.999999410727068438e-01,9.999999410727068438e-01,-8.794216529326648768e+00
9.999999469654361484e-01,9.999999469654361484e-01,-8.794216523433918908e+00
9.999999522688924891e-01,9.999999522688924891e-01,-8.794216518130463456e+00
9.999999570420032846e-01,9.999999570420032846e-01,-8.794216513357351772e+00
9.999999613378030006e-01,9.999999613378030006e-01,-8.794216509061552500e+00
9.999999652040226783e-01,9.999999652040226783e-01,-8.794216505195333156e+00
9.999999686836203994e-01,9.999999686836203994e-01,-8.794216501715734324e+00
9.999999718152583483e-01,9.999999718152583483e-01,-8.794216498584097153e+00
9.999999746337324691e-01,9.999999746337324691e-01,-8.794216495765622810e+00
9.999999771703592666e-01,9.999999771703592666e-01,-8.794216493228995901e+00
9.999999794533233066e-01,9.999999794533233066e-01,-8.794216490946032749e+00
9.999999815079909649e-01,9.999999815079909649e-01,-8.794216488891365202e+00
9.999999833571918684e-01,9.999999833571918684e-01,-8.794216487042163521e+00
9.999999850214726926e-01,9.999999850214726926e-01,-8.794216485377882364e+00
9.999999865193254234e-01,9.999999865193254234e-01,-8.794216483880029855e+00
9.999999878673928588e-01,9.999999878673928588e-01,-8.794216482531963308e+00
9.999999890806535729e-01,9.999999890806535729e-01,-8.794216481318702705e+00
9.999999901725882268e-01,9.999999901725882268e-01,-8.794216480226767274e+00
9.999999911553294485e-01,9.999999911553294485e-01,-8.794216479244026274e+00
9.999999920397965036e-01,9.999999920397965036e-01,-8.794216478359558664e+00
