gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849881578276783228e+06,4.656215302022550255e+06,3.287183989208132029e+06,-3.657016331906459000e-02,-7.428693239241572488e-02,-4.674081807590069193e-02
-2.849889070657465607e+06,4.656219831522130407e+06,3.287185597671773285e+06,-4.971310954223211349e-03,6.810698625030711661e-02,-1.223330894073523670e-03
-2.849889677585972939e+06,4.656216218969712034e+06,3.287193369540383574e+06,-6.779398670699698926e-02,-1.167530631806446006e-01,-6.166961065353943061e-02
-2.849900065105244052e+06,4.656194075436257757e+06,3.287193529552714434e+06,1.371967413457039764e-01,-4.378830366979826610e-02,2.267525495477554567e-02
-2.849884163518589456e+06,4.656219437077280134e+06,3.287187939612259157e+06,1.293034727960002683e-01,-6.252004262547410096e-02,2.230425835425467115e-02
-2.849887920860804152e+06,4.656208321778252721e+06,3.287194974883811548e+06,2.815995025128087970e-01,2.995300692602846648e-02,-2.746376327297344808e-02
-2.849884727446774952e+06,4.656210962761065923e+06,3.287192034029452596e+06,3.647915788069284737e-01,-5.797390115348549644e-03,1.922517678076957059e-02
-2.849885938732145820e+06,4.656207651269210503e+06,3.287197387374108192e+06,5.429917569394751009e-01,-1.946191633727144266e-02,1.148806650418685883e-02
-2.849883326546922792e+06,4.656213779183459468e+06,3.287185838857842144e+06,6.228315732064940713e-01,6.079911749575747952e-05,-3.778723698774278522e-02
-2.849886225867535919e+06,4.656218377910939045e+06,3.287191819823168684e+06,7.272220516980716365e-01,1.043186798250791414e-01,-5.202830870005215047e-02
-2.849897318658657372e+06,4.656218144505288452e+06,3.287195963464661501e+06,7.988621471449607325e-01,6.459914609032756105e-02,-2.012694581307870531e-02
-2.849884324327437207e+06,4.656212858731750399e+06,3.287196445628356189e+06,8.232395897476905144e-01,4.141348346566320338e-03,1.513891859623884423e-02
-2.849890131510177627e+06,4.656212578139088117e+06,3.287189411137760617e+06,9.712644229747993130e-01,1.078684525725789357e-02,-4.972168573641538858e-02
-2.849884673156897072e+06,4.656212663707318716e+06,3.287181775537481066e+06,1.087501885286922931e+00,-3.904058746338783664e-02,-5.641920722187730025e-02
-2.849878870035392232e+06,4.656211910836780444e+06,3.287182424532941543e+06,1.205297067512053566e+00,-9.174654886883423441e-03,-1.869718553455715013e-02
-2.849883555058240425e+06,4.656217328327891417e+06,3.287183848459903151e+06,1.301108758999828252e+00,7.817667612817397887e-03,-2.464536309158146810e-03
-2.849879523085549008e+06,4.656203068142061122e+06,3.287187507450891659e+06,1.330415820879244482e+00,1.194165737290759366e-01,-7.022802879121414765e-02
-2.849883407537689898e+06,4.656214378387739882e+06,3.287200972735917661e+06,1.537482213820147159e+00,3.342972689838704520e-02,2.777992485560835251e-02
