ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.839097617250875570e+06,4.666725673941934481e+06,3.297702001463122666e+06,1.778499999999743295e+02,1.728499999999731926e+02,1.728499999999731926e+02
-2.839095838750875555e+06,4.666727402441934682e+06,3.297703729963122401e+06,1.777999999999743181e+02,1.727999999999731813e+02,1.727999999999731813e+02
-2.839094060750875622e+06,4.666729130441934802e+06,3.297705457963122521e+06,1.777499999999743068e+02,1.727499999999731699e+02,1.727499999999731699e+02
-2.839092283250875771e+06,4.666730857941934839e+06,3.297707185463122558e+06,1.776999999999742954e+02,1.726999999999731585e+02,1.726999999999731585e+02
-2.839090506250875536e+06,4.666732584941934794e+06,3.297708912463122513e+06,1.776499999999742840e+02,1.726499999999731472e+02,1.726499999999731472e+02
-2.839088729750875849e+06,4.666734311441934668e+06,3.297710638963122386e+06,1.775999999999742727e+02,1.725999999999731358e+02,1.725999999999731358e+02
-2.839086953750875778e+06,4.666736037441934459e+06,3.297712364963122644e+06,1.775499999999742613e+02,1.725499999999731244e+02,1.725499999999731244e+02
-2.839085178250875790e+06,4.666737762941934168e+06,3.297714090463122819e+06,1.774999999999742499e+02,1.724999999999731131e+02,1.724999999999731131e+02
-2.839083403250875883e+06,4.666739487941934727e+06,3.297715815463122446e+06,1.774499999999742386e+02,1.724499999999731017e+02,1.724499999999731017e+02
-2.839081628750875592e+06,4.666741212441934273e+06,3.297717539963122457e+06,1.773999999999742272e+02,1.723999999999730903e+02,1.723999999999730903e+02
-2.839079854750875849e+06,4.666742936441934668e+06,3.297719263963122852e+06,1.773499999999742158e+02,1.723499999999730790e+02,1.723499999999730790e+02
-2.839078081250875723e+06,4.666744659941934049e+06,3.297720987463122699e+06,1.772999999999742045e+02,1.722999999999730676e+02,1.722999999999730676e+02
-2.839076308250875678e+06,4.666746382941934280e+06,3.297722710463122465e+06,1.772499999999741931e+02,1.722499999999730562e+02,1.722499999999730562e+02
-2.839074535750875715e+06,4.666748105441934429e+06,3.297724432963122614e+06,1.771999999999741817e+02,1.721999999999730449e+02,1.721999999999730449e+02
-2.839072763750875834e+06,4.666749827441934496e+06,3.297726154963122681e+06,1.771499999999741704e+02,1.721499999999730335e+02,1.721499999999730335e+02
-2.839070992250875570e+06,4.666751548941934481e+06,3.297727876463122666e+06,1.770999999999741590e+02,1.720999999999730221e+02,1.720999999999730221e+02
-2.839069221250875853e+06,4.666753269941934384e+06,3.297729597463122569e+06,1.770499999999741476e+02,1.720499999999730107e+02,1.720499999999730107e+02
-2.839067450750875752e+06,4.666754990441934206e+06,3.297731317963122390e+06,1.769999999999741362e+02,1.719999999999729994e+02,1.719999999999729994e+02
-2.839065680750875734e+06,4.666756710441934876e+06,3.297733037963122595e+06,1.769499999999741249e+02,1.719499999999729880e+02,1.719499999999729880e+02
-2.839063911250875797e+06,4.666758429941934533e+06,3.297734757463122718e+06,1.768999999999741135e+02,1.718999999999729766e+02,1.718999999999729766e+02
-2.839062142250875477e+06,4.666760148941934109e+06,3.297736476463122759e+06,1.768499999999741021e+02,1.718499999999729653e+02,1.718499999999729653e+02
-2.839060373750875704e+06,4.666761867441934533e+06,3.297738194963122718e+06,1.767999999999740908e+02,1.717999999999729539e+02,1.717999999999729539e+02
-2.839058605750875548e+06,4.666763585441934876e+06,3.297739912963122595e+06,1.767499999999740794e+02,1.717499999999729425e+02,1.717499999999729425e+02
-2.839056838250875473e+06,4.666765302941934206e+06,3.297741630463122390e+06,1.766999999999740680e+02,1.716999999999729312e+02,1.716999999999729312e+02
-2.839055071250875480e+06,4.666767019941934384e+06,3.297743347463122569e+06,1.766499999999740567e+02,1.716499999999729198e+02,1.716499999999729198e+02
-2.839053304750875570e+06,4.666768736441934481e+06,3.297745063963122666e+06,1.765999999999740453e+02,1.715999999999729084e+02,1.715999999999729084e+02
-2.839051538750875741e+06,4.666770452441934496e+06,3.297746779963122681e+06,1.765499999999740339e+02,1.715499999999728971e+02,1.715499999999728971e+02
-2.839049773250875529e+06,4.666772167941934429e+06,3.297748495463122614e+06,1.764999999999740226e+02,1.714999999999728857e+02,1.714999999999728857e+02
-2.839048008250875864e+06,4.666773882941934280e+06,3.297750210463122465e+06,1.764499999999740112e+02,1.714499999999728743e+02,1.714499999999728743e+02
-2.839046243750875816e+06,4.666775597441934049e+06,3.297751924963122699e+06,1.763999999999739998e+02,1.713999999999728630e+02,1.713999999999728630e+02
-2.839044479750875849e+06,4.666777311441934668e+06,3.297753638963122386e+06,1.763499999999739885e+02,1.713499999999728516e+02,1.713499999999728516e+02
-2.839042716250875499e+06,4.666779024941934273e+06,3.297755352463122457e+06,1.762999999999739771e+02,1.712999999999728402e+02,1.712999999999728402e+02
-2.839040953250875697e+06,4.666780737941934727e+06,3.297757065463122446e+06,1.762499999999739657e+02,1.712499999999728288e+02,1.712499999999728288e+02
-2.839039190750875510e+06,4.666782450441934168e+06,3.297758777963122819e+06,1.761999999999739543e+02,1.711999999999728175e+02,1.711999999999728175e+02
-2.839037428750875872e+06,4.666784162441934459e+06,3.297760489963122644e+06,1.761499999999739430e+02,1.711499999999728061e+02,1.711499999999728061e+02
-2.839035667250875849e+06,4.666785873941934668e+06,3.297762201463122386e+06,1.760999999999739316e+02,1.710999999999727947e+02,1.710999999999727947e+02
-2.839033906250875909e+06,4.666787584941934794e+06,3.297763912463122513e+06,1.760499999999739202e+02,1.710499999999727834e+02,1.710499999999727834e+02
-2.839032145750875585e+06,4.666789295441934839e+06,3.297765622963122558e+06,1.759999999999739089e+02,1.709999999999727720e+02,1.709999999999727720e+02
-2.839030385750875808e+06,4.666791005441934802e+06,3.297767332963122521e+06,1.759499999999738975e+02,1.709499999999727606e+02,1.709499999999727606e+02
-2.839028626250875648e+06,4.666792714941934682e+06,3.297769042463122401e+06,1.758999999999738861e+02,1.708999999999727493e+02,1.708999999999727493e+02
-2.839026867250875570e+06,4.666794423941934481e+06,3.297770751463122666e+06,1.758499999999738748e+02,1.708499999999727379e+02,1.708499999999727379e+02
-2.839025108750875574e+06,4.666796132441934198e+06,3.297772459963122383e+06,1.757999999999738634e+02,1.707999999999727265e+02,1.707999999999727265e+02
-2.839023350750875659e+06,4.666797840441934764e+06,3.297774167963122483e+06,1.757499999999738520e+02,1.707499999999727152e+02,1.707499999999727152e+02
-2.839021593250875827e+06,4.666799547941934317e+06,3.297775875463122502e+06,1.756999999999738407e+02,1.706999999999727038e+02,1.706999999999727038e+02
-2.839019836250875611e+06,4.666801254941934720e+06,3.297777582463122439e+06,1.756499999999738293e+02,1.706499999999726924e+02,1.706499999999726924e+02
-2.839018079750875477e+06,4.666802961441934109e+06,3.297779288963122759e+06,1.755999999999738179e+02,1.705999999999726811e+02,1.705999999999726811e+02
-2.839016323750875890e+06,4.666804667441934347e+06,3.297780994963122532e+06,1.755499999999738066e+02,1.705499999999726697e+02,1.705499999999726697e+02
-2.839014568250875920e+06,4.666806372941934504e+06,3.297782700463122688e+06,1.754999999999737952e+02,1.704999999999726583e+02,1.704999999999726583e+02
-2.839012813250875566e+06,4.666808077941934578e+06,3.297784405463122763e+06,1.754499999999737838e+02,1.704499999999726469e+02,1.704499999999726469e+02
-2.839011058750875760e+06,4.666809782441934571e+06,3.297786109963122755e+06,1.753999999999737724e+02,1.703999999999726356e+02,1.703999999999726356e+02
-2.839009304750875570e+06,4.666811486441934481e+06,3.297787813963122666e+06,1.753499999999737611e+02,1.703499999999726242e+02,1.703499999999726242e+02
-2.839007551250875462e+06,4.666813189941934310e+06,3.297789517463122495e+06,1.752999999999737497e+02,1.702999999999726128e+02,1.702999999999726128e+02
-2.839005798250875901e+06,4.666814892941934057e+06,3.297791220463122707e+06,1.752499999999737383e+02,1.702499999999726015e+02,1.702499999999726015e+02
-2.839004045750875492e+06,4.666816595441934653e+06,3.297792922963122837e+06,1.751999999999737270e+02,1.701999999999725901e+02,1.701999999999725901e+02
-2.839002293750875629e+06,4.666818297441934235e+06,3.297794624963122420e+06,1.751499999999737156e+02,1.701499999999725787e+02,1.701499999999725787e+02
-2.839000542250875849e+06,4.666819998941934668e+06,3.297796326463122386e+06,1.750999999999737042e+02,1.700999999999725674e+02,1.700999999999725674e+02
-2.838998791250875685e+06,4.666821699941934086e+06,3.297798027463122737e+06,1.750499999999736929e+02,1.700499999999725560e+02,1.700499999999725560e+02
-2.838997040750875603e+06,4.666823400441934355e+06,3.297799727963122539e+06,1.749999999999736815e+02,1.699999999999725446e+02,1.699999999999725446e+02
-2.838995290750875603e+06,4.666825100441934541e+06,3.297801427963122725e+06,1.749499999999736701e+02,1.699499999999725333e+02,1.699499999999725333e+02
-2.838993541250875685e+06,4.666826799941934645e+06,3.297803127463122830e+06,1.748999999999736588e+02,1.698999999999725219e+02,1.698999999999725219e+02
-2.838991792250875849e+06,4.666828498941934668e+06,3.297804826463122386e+06,1.748499999999736474e+02,1.698499999999725105e+02,1.698499999999725105e+02
-2.838990043750875629e+06,4.666830197441934608e+06,3.297806524963122793e+06,1.747999999999736360e+02,1.697999999999724992e+02,1.697999999999724992e+02
-2.838988295750875492e+06,4.666831895441934466e+06,3.297808222963122651e+06,1.747499999999736247e+02,1.697499999999724878e+02,1.697499999999724878e+02
