gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849890122666080482e+06,4.656205009785515256e+06,3.287182899167751893e+06,6.025262135202227753e+00,1.027490700858943118e+00,1.006782990065983707e+00
-2.849884952804917004e+06,4.656212160236595199e+06,3.287180505945978686e+06,6.084219561199240012e+00,1.120881636955479044e+00,1.159505271612886190e+00
-2.849885360601651482e+06,4.656210674345170148e+06,3.287199663992038462e+06,6.172892070166336786e+00,1.163112919723360505e+00,1.259095698112493000e+00
-2.849882896645642351e+06,4.656210962287339382e+06,3.287188617304512765e+06,6.350130292372607954e+00,1.272635357400395462e+00,1.266051705245036407e+00
-2.849884159309846815e+06,4.656217576673466712e+06,3.287185831706776284e+06,6.430115807754356538e+00,1.412678305002279311e+00,1.373859054431612714e+00
-2.849889144976385403e+06,4.656217582079675049e+06,3.287195471294647083e+06,6.437739765415835258e+00,1.510733077165173688e+00,1.543219752587588145e+00
-2.849883975564515218e+06,4.656214876284706406e+06,3.287188503551260568e+06,6.526572392499376818e+00,1.622468980217431467e+00,1.612347114078674037e+00
-2.849891534185373224e+06,4.656215047593115829e+06,3.287192679343122058e+06,6.663341783483068603e+00,1.682142911629620485e+00,1.686590079286131250e+00
-2.849886576908163726e+06,4.656218779773395509e+06,3.287192152562972158e+06,6.726244192673457079e+00,1.731350120334281595e+00,1.730464422318856332e+00
-2.849879408070373349e+06,4.656209434292650782e+06,3.287184182388950605e+06,6.861285871761680255e+00,1.748698872162724571e+00,1.820992652651627575e+00
-2.849873954372895416e+06,4.656210234302843921e+06,3.287194679219226819e+06,7.033655015097084906e+00,1.942340189638193104e+00,1.939119233831806621e+00
-2.849883158081263769e+06,4.656212365019556135e+06,3.287192289046924561e+06,6.994663047858276528e+00,2.110280448734558778e+00,2.071395560150246062e+00
-2.849882812089800369e+06,4.656211842794709839e+06,3.287186829656993039e+06,7.175931477810843617e+00,2.118983366052641149e+00,2.030190811273010709e+00
-2.849889983242422808e+06,4.656222034278491512e+06,3.287190122251605149e+06,7.108976137842420329e+00,2.148985666031866693e+00,2.179343726040635865e+00
-2.849889318767454941e+06,4.656210120674362406e+06,3.287184236744327005e+06,7.320368514747306321e+00,2.343970808676532513e+00,2.351721805968092216e+00
-2.849885471029246692e+06,4.656216479239237495e+06,3.287181727928653359e+06,7.416065260369170353e+00,2.429252818741164166e+00,2.503780151166437484e+00
-2.849884622957730666e+06,4.656213802762486041e+06,3.287178638283426873e+06,7.510656972393355169e+00,2.558739247917477755e+00,2.629216781268389092e+00
