ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.849876617252145894e+06,4.656218973940664902e+06,3.287195301461852621e+06
-2.849876470252018422e+06,4.656219070940791629e+06,3.287195398461979814e+06
-2.849876322251904290e+06,4.656219168940905482e+06,3.287195496462094132e+06
-2.849876173251801636e+06,4.656219267941008322e+06,3.287195595462196972e+06
-2.849876023251708597e+06,4.656219367941101082e+06,3.287195695462289732e+06
-2.849875872251625638e+06,4.656219468941184692e+06,3.287195796462372877e+06
-2.849875720251550432e+06,4.656219570941260085e+06,3.287195898462447803e+06
-2.849875567251482978e+06,4.656219673941327259e+06,3.287196001462515444e+06
-2.849875413251422346e+06,4.656219777941388078e+06,3.287196105462576263e+06
-2.849875258251367602e+06,4.656219882941442542e+06,3.287196210462630726e+06
-2.849875102251318283e+06,4.656219988941491581e+06,3.287196316462680232e+06
-2.849874945251273923e+06,4.656220095941536129e+06,3.287196423462724313e+06
-2.849874787251234055e+06,4.656220203941576183e+06,3.287196531462764367e+06
-2.849874628251198214e+06,4.656220312941611744e+06,3.287196640462799929e+06
-2.849874468251165934e+06,4.656220422941644676e+06,3.287196750462832395e+06
-2.849874307251136750e+06,4.656220533941673115e+06,3.287196861462861300e+06
-2.849874145251110662e+06,4.656220645941699855e+06,3.287196973462887574e+06
-2.849873982251087204e+06,4.656220758941723034e+06,3.287197086462911218e+06
-2.849873818251065910e+06,4.656220872941744514e+06,3.287197200462932233e+06
-2.849873653251046780e+06,4.656220987941763364e+06,3.287197315462951548e+06
-2.849873487251029816e+06,4.656221103941780515e+06,3.287197431462968700e+06
-2.849873320251014084e+06,4.656221220941795968e+06,3.287197548462984152e+06
-2.849873152251000516e+06,4.656221338941809721e+06,3.287197666462997906e+06
-2.849872983250987716e+06,4.656221457941822708e+06,3.287197785463010427e+06
-2.849872813250976615e+06,4.656221577941833995e+06,3.287197905463021714e+06
-2.849872642250966281e+06,4.656221698941843584e+06,3.287198026463031769e+06
-2.849872470250957180e+06,4.656221820941852406e+06,3.287198148463041056e+06
-2.849872297250949312e+06,4.656221943941861391e+06,3.287198271463049110e+06
-2.849872123250941746e+06,4.656222067941868678e+06,3.287198395463056397e+06
-2.849871948250934947e+06,4.656222192941875197e+06,3.287198520463063382e+06
-2.849871772250928916e+06,4.656222318941880949e+06,3.287198646463069133e+06
-2.849871595250923652e+06,4.656222445941886865e+06,3.287198773463074584e+06
-2.849871417250918690e+06,4.656222573941891082e+06,3.287198901463079266e+06
-2.849871238250914495e+06,4.656222702941895463e+06,3.287199030463083647e+06
-2.849871058250910603e+06,4.656222832941900007e+06,3.287199160463087726e+06
-2.849870877250907011e+06,4.656222963941902854e+06,3.287199291463091038e+06
-2.849870695250903722e+06,4.656223095941905864e+06,3.287199423463094514e+06
-2.849870512250901200e+06,4.656223228941909038e+06,3.287199556463097222e+06
-2.849870328250898514e+06,4.656223362941911444e+06,3.287199690463100094e+06
-2.849870143250896130e+06,4.656223497941914015e+06,3.287199825463102199e+06
-2.849869957250894047e+06,4.656223633941915818e+06,3.287199961463104468e+06
-2.849869770250892267e+06,4.656223770941917785e+06,3.287200098463105969e+06
-2.849869582250890322e+06,4.656223908941919915e+06,3.287200236463107634e+06
-2.849869393250889145e+06,4.656224047941921279e+06,3.287200375463109463e+06
-2.849869203250887804e+06,4.656224187941922806e+06,3.287200515463110525e+06
-2.849869012250886299e+06,4.656224328941923566e+06,3.287200656463111751e+06
