accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.633864592814134653e+00,9.631718876099734317e+00,-1.723900250769327125e-01
9.681624203645577964e+00,9.687167390848740567e+00,-1.153148591183046634e-01
9.733568131252638977e+00,9.732509300670411534e+00,-7.619806713249016594e-02
9.760427688687991932e+00,9.756639114662709389e+00,-4.838711962379019932e-02
9.790927964534771988e+00,9.776661385969422469e+00,1.069146783269396550e-02
9.820078998751775146e+00,9.828152486850909142e+00,3.355923590391175770e-02
9.853532436614646173e+00,9.868281940190772872e+00,5.437953650399134087e-02
9.875762251464031749e+00,9.878108190138592093e+00,7.733366421198377416e-02
9.901747056887007403e+00,9.897148791048927308e+00,9.154949493946619443e-02
9.908801538487791660e+00,9.924638015768604049e+00,1.301264025914533329e-01
9.929070377931475733e+00,9.933108575400863671e+00,1.519678041712679006e-01
9.948335294359340608e+00,9.945416781681201357e+00,1.652571221612154362e-01
9.974991035143769835e+00,9.969578994409763695e+00,1.592289714734979322e-01
9.971701906387812286e+00,9.994337589003970734e+00,1.775376228782627741e-01
9.993287341843544169e+00,9.987689669037074225e+00,1.918119495137891317e-01
1.000546333846057223e+01,1.001213646255480150e+01,1.932229707489489523e-01
1.001905443455529010e+01,1.000140060471374959e+01,2.236231480382495085e-01
1.001060837182933660e+01,1.000492370038747225e+01,2.232976736887171409e-01
1.003645806269603113e+01,1.001230731295118481e+01,2.478464633968135988e-01
1.003444900207385615e+01,1.003300521349979491e+01,2.490295192454309303e-01
1.004613035685324363e+01,1.004392675314397820e+01,2.683526009984780747e-01
1.005175047693025903e+01,1.003997578833859450e+01,2.437137109497835297e-01
1.005932845680694854e+01,1.006369996185593152e+01,2.605445203228445861e-01
1.007187475334879601e+01,1.007014600824665429e+01,2.640271289668421062e-01
1.005453487754774677e+01,1.005933714364617693e+01,2.681410246239180339e-01
1.006474642265012598e+01,1.007709496283039385e+01,2.742635685931520961e-01
1.006931427876238594e+01,1.006696321518247217e+01,2.715568402156336436e-01
1.008331628488331688e+01,1.007080006077715595e+01,2.703195300288920855e-01
1.008333528809417068e+01,1.007852716564134532e+01,2.681748744374972127e-01
1.009044595334921901e+01,1.006782656073783322e+01,2.977116881882632682e-01
1.007877732629283152e+01,1.007312259796991150e+01,2.925120671029952657e-01
1.006718770797272633e+01,1.008586943043028405e+01,2.891055927450081886e-01
1.007649427620168758e+01,1.008344838876264227e+01,3.097870595947946337e-01
1.008073452693205141e+01,1.009708825772626639e+01,2.951344552340297023e-01
1.008316405575696351e+01,1.009358692373441002e+01,2.934465188879839537e-01
1.009084124834319596e+01,1.008683175886871908e+01,3.023750304654643228e-01
1.009137141497067169e+01,1.009147366686085512e+01,2.958677299743380784e-01
1.009645270902178105e+01,1.008165570053668603e+01,2.975646503826125944e-01
1.008630645134329917e+01,1.010974965675015014e+01,2.930233769698462054e-01
1.008943267199063598e+01,1.010738498235880023e+01,2.882606280441401547e-01
