ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
7.818248003631400600e+00,2.818248003631400600e+00,2.818248003631400600e+00
7.916423203268260878e+00,2.916423203268260433e+00,2.916423203268260433e+00
8.014780882941435536e+00,3.014780882941434204e+00,3.014780882941434204e+00
8.113302794647292870e+00,3.113302794647290650e+00,3.113302794647290650e+00
8.211972515182564436e+00,3.211972515182561771e+00,3.211972515182561771e+00
8.310775263664307744e+00,3.310775263664305523e+00,3.310775263664305523e+00
8.409697737297877396e+00,3.409697737297875175e+00,3.409697737297875175e+00
8.508727963568089692e+00,3.508727963568087471e+00,3.508727963568087471e+00
8.607855167211280190e+00,3.607855167211278857e+00,3.607855167211278857e+00
8.707069650490153023e+00,3.707069650490150803e+00,3.707069650490150803e+00
8.806362685441138538e+00,3.806362685441135874e+00,3.806362685441135874e+00
8.905726416897024933e+00,3.905726416897022268e+00,3.905726416897022268e+00
9.005153775207322298e+00,4.005153775207319633e+00,4.005153775207319633e+00
9.104638397686590778e+00,4.104638397686587226e+00,4.104638397686587226e+00
9.204174557917932376e+00,4.204174557917928823e+00,4.204174557917928823e+00
9.303757102126139600e+00,4.303757102126136047e+00,4.303757102126136047e+00
9.403381391913525178e+00,4.403381391913522513e+00,4.403381391913522513e+00
9.503043252722173762e+00,4.503043252722170209e+00,4.503043252722170209e+00
9.602738927449957274e+00,4.602738927449952833e+00,4.602738927449952833e+00
9.702465034704962576e+00,4.702465034704957247e+00,4.702465034704957247e+00
9.802218531234466070e+00,4.802218531234461629e+00,4.802218531234461629e+00
9.901996678111020245e+00,4.901996678111015804e+00,4.901996678111015804e+00
1.000179701029991897e+01,5.001797010299914525e+00,5.001797010299914525e+00
1.010161730926992796e+01,5.101617309269923517e+00,5.101617309269923517e+00
1.020145557834293548e+01,5.201455578342931041e+00,5.201455578342931041e+00
1.030131002050864275e+01,5.301310020508638310e+00,5.301310020508638310e+00
1.040117901845777837e+01,5.401179018457774816e+00,5.401179018457774816e+00
1.050106111661200181e+01,5.501061116611997370e+00,5.501061116611997370e+00
1.060095500495080145e+01,5.600955004950797900e+00,5.600955004950797900e+00
1.070085950445572109e+01,5.700859504455718429e+00,5.700859504455718429e+00
1.080077355401014927e+01,5.800773554010146604e+00,5.800773554010146604e+00
1.090069619860913441e+01,5.900696198609131748e+00,5.900696198609131748e+00
1.100062657874822136e+01,6.000626578748218698e+00,6.000626578748218698e+00
1.110056392087339994e+01,6.100563920873397272e+00,6.100563920873397272e+00
1.120050752878606026e+01,6.200507528786057598e+00,6.200507528786057598e+00
1.130045677590745434e+01,6.300456775907451679e+00,6.300456775907451679e+00
1.140041109831670951e+01,6.400411098316706848e+00,6.400411098316706848e+00
1.150036998848503877e+01,6.500369988485036110e+00,6.500369988485036110e+00
1.160033298963653614e+01,6.600332989636532588e+00,6.600332989636532588e+00
1.170029969067288356e+01,6.700299690672879116e+00,6.700299690672879116e+00
1.180026972160559495e+01,6.800269721605591400e+00,6.800269721605591400e+00
1.190024274944503624e+01,6.900242749445032686e+00,6.900242749445032686e+00
1.200021847450053336e+01,7.000218474500529808e+00,7.000218474500529808e+00
1.210019662705048127e+01,7.100196627050476827e+00,7.100196627050476827e+00
1.220017696434543453e+01,7.200176964345429198e+00,7.200176964345429198e+00
1.230015926791089242e+01,7.300159267910886207e+00,7.300159267910886207e+00
1.240014334111980432e+01,7.400143341119798102e+00,7.400143341119798102e+00
1.250012900700782481e+01,7.500129007007818593e+00,7.500129007007818593e+00
1.260011610630704304e+01,7.600116106307036823e+00,7.600116106307036823e+00
1.270010449567633870e+01,7.700104495676333372e+00,7.700104495676333372e+00
1.280009404610870583e+01,7.800094046108700496e+00,7.800094046108700496e+00
1.290008464149783585e+01,7.900084641497830518e+00,7.900084641497830518e+00
1.300007617734805265e+01,8.000076177348047324e+00,8.000076177348047324e+00
