ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.418502629969598416e+00,9.418502629969598416e+00,-3.757138404297570844e-01
9.476652366972638575e+00,9.476652366972638575e+00,-3.175641034267169260e-01
9.528987130275375250e+00,9.528987130275375250e+00,-2.652293401239802506e-01
9.576088417247838436e+00,9.576088417247838436e+00,-2.181280531515170651e-01
9.618479575523055658e+00,9.618479575523055658e+00,-1.757368948762998428e-01
9.656631617970750980e+00,9.656631617970750980e+00,-1.375848524286045205e-01
9.690968456173676415e+00,9.690968456173676415e+00,-1.032480142256790856e-01
9.721871610556309662e+00,9.721871610556309662e+00,-7.234485984304583894e-02
9.749684449500678696e+00,9.749684449500678696e+00,-4.453202089867680513e-02
9.774716004550610293e+00,9.774716004550610293e+00,-1.950046584874520761e-02
9.797244404095549086e+00,9.797244404095549086e+00,3.027933696193585433e-03
9.817519963685994000e+00,9.817519963685994000e+00,2.330349328663849917e-02
9.835767967317394778e+00,9.835767967317394778e+00,4.155149691803927681e-02
9.852191170585655300e+00,9.852191170585655300e+00,5.797470018629979904e-02
9.866972053527090836e+00,9.866972053527090836e+00,7.275558312773533487e-02
9.880274848174382285e+00,9.880274848174382285e+00,8.605837777502678421e-02
9.892247363356943879e+00,9.892247363356943879e+00,9.803089295758837807e-02
9.903022627021249136e+00,9.903022627021249136e+00,1.088061566218936349e-01
9.912720364319124400e+00,9.912720364319124400e+00,1.185038939197688990e-01
9.921448327887212315e+00,9.921448327887212315e+00,1.272318574878568143e-01
9.929303495098491084e+00,9.929303495098491084e+00,1.350870246991355828e-01
9.936373145588643041e+00,9.936373145588643041e+00,1.421566751892875402e-01
9.942735831029779092e+00,9.942735831029779092e+00,1.485193606304235914e-01
9.948462247926801894e+00,9.948462247926801894e+00,1.542457775274463927e-01
9.953616023134122415e+00,9.953616023134122415e+00,1.593995527347669139e-01
9.958254420820709996e+00,9.958254420820709996e+00,1.640379504213544948e-01
9.962428978738639529e+00,9.962428978738639529e+00,1.682125083392840281e-01
9.966186080864776642e+00,9.966186080864776642e+00,1.719696104654211410e-01
9.969567472778299688e+00,9.969567472778299688e+00,1.753510023789441874e-01
9.972610725500469897e+00,9.972610725500469897e+00,1.783942551011143962e-01
9.975349652950423973e+00,9.975349652950423973e+00,1.811331825510684723e-01
9.977814687655381931e+00,9.977814687655381931e+00,1.835982172560264303e-01
9.980033218889843738e+00,9.980033218889843738e+00,1.858167484904882372e-01
9.982029897000860075e+00,9.982029897000860075e+00,1.878134266015045739e-01
9.983826907300773712e+00,9.983826907300773712e+00,1.896104369014182112e-01
9.985444216570696696e+00,9.985444216570696696e+00,1.912277461713411952e-01
9.986899794913627559e+00,9.986899794913627559e+00,1.926833245142720585e-01
9.988209815422264271e+00,9.988209815422264271e+00,1.939933450229087697e-01
9.989388833880038732e+00,9.989388833880038732e+00,1.951723634806832308e-01
9.990449950492035214e+00,9.990449950492035214e+00,1.962334800926797129e-01
9.991404955442831692e+00,9.991404955442831692e+00,1.971884850434761915e-01
9.992264459898548168e+00,9.992264459898548168e+00,1.980479894991926670e-01
9.993038013908693173e+00,9.993038013908693173e+00,1.988215435093376726e-01
9.993734212517823678e+00,9.993734212517823678e+00,1.995177421184681776e-01
9.994360791266041488e+00,9.994360791266041488e+00,2.001443208666859874e-01
9.994924712139438228e+00,9.994924712139438228e+00,2.007082417400827268e-01
9.995432240925493872e+00,9.995432240925493872e+00,2.012157705261383711e-01
9.995889016832943952e+00,9.995889016832943952e+00,2.016725464335884510e-01
9.996300115149649557e+00,9.996300115149649557e+00,2.020836447502940558e-01
9.996670103634684779e+00,9.996670103634684779e+00,2.024536332353292778e-01
9.997003093271215945e+00,9.997003093271215945e+00,2.027866228718604447e-01
9.997302783944094884e+00,9.997302783944094884e+00,2.030863135447393830e-01
9.997572505549685573e+00,9.997572505549685573e+00,2.033560351503300723e-01
9.997815254994717904e+00,9.997815254994717904e+00,2.035987845953624031e-01
9.998033729495245936e+00,9.998033729495245936e+00,2.038172590958904351e-01
9.998230356545722231e+00,9.998230356545722231e+00,2.040138861463667297e-01
9.998407320891150363e+00,9.998407320891150363e+00,2.041908504917948619e-01
9.998566588802034971e+00,9.998566588802034971e+00,2.043501184026794704e-01
9.998709929921831829e+00,9.998709929921831829e+00,2.044934595224763285e-01
9.998838936929649535e+00,9.998838936929649535e+00,2.046224665302940338e-01
9.998955043236684048e+00,9.998955043236684048e+00,2.047385728373285474e-01
9.999059538913016354e+00,9.999059538913016354e+00,2.048430685136608531e-01
9.999153585021714363e+00,9.999153585021714363e+00,2.049371146223588624e-01
9.999238226519542749e+00,9.999238226519542749e+00,2.050217561201872485e-01
9.999314403867588297e+00,9.999314403867588297e+00,2.050979334682327959e-01
9.999382963480830000e+00,9.999382963480830000e+00,2.051664930814744991e-01
9.999444667132747711e+00,9.999444667132747711e+00,2.052281967333922097e-01
9.999500200419472407e+00,9.999500200419472407e+00,2.052837300201169057e-01
9.999550180377525521e+00,9.999550180377525521e+00,2.053337099781700203e-01
9.999595162339772969e+00,9.999595162339772969e+00,2.053786919404174682e-01
9.999635646105796027e+00,9.999635646105796027e+00,2.054191757064405266e-01
9.999672081495216247e+00,9.999672081495216247e+00,2.054556110958607462e-01
9.999704873345695688e+00,9.999704873345695688e+00,2.054884029463401873e-01
9.999734386011127185e+00,9.999734386011127185e+00,2.055179156117716843e-01
9.999760947410015532e+00,9.999760947410015532e+00,2.055444770106600316e-01
9.999784852669014512e+00,9.999784852669014512e+00,2.055683822696590113e-01
9.999806367402113594e+00,9.999806367402113594e+00,2.055898970027580930e-01
9.999825730661902057e+00,9.999825730661902057e+00,2.056092602625465560e-01
9.999843157595712739e+00,9.999843157595712739e+00,2.056266871963572385e-01
9.999858841836141821e+00,9.999858841836141821e+00,2.056423714367863198e-01
9.999872957652527816e+00,9.999872957652527816e+00,2.056564872531723154e-01
9.999885661887274679e+00,9.999885661887274679e+00,2.056691914879191785e-01
9.999897095698546678e+00,9.999897095698546678e+00,2.056806252991911776e-01
9.999907386128692011e+00,9.999907386128692011e+00,2.056909157293365098e-01
9.999916647515822987e+00,9.999916647515822987e+00,2.057001771164674864e-01
9.999924982764241577e+00,9.999924982764241577e+00,2.057085123648860758e-01
9.999932484487818130e+00,9.999932484487818130e+00,2.057160140884626287e-01
9.999939236039036672e+00,9.999939236039036672e+00,2.057227656396811710e-01
9.999945312435134070e+00,9.999945312435134070e+00,2.057288420357785697e-01
9.999950781191621729e+00,9.999950781191621729e+00,2.057343107922662284e-01
9.999955703072460622e+00,9.999955703072460622e+00,2.057392326731051213e-01
