gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849881180181921460e+06,4.656214507342313416e+06,3.287200489941372536e+06,1.204280130232127967e-02,2.138887366941703838e-02,1.367248924544939119e-02
-2.849884181613517459e+06,4.656209941149413586e+06,3.287186315338038374e+06,-3.956111570299752911e-02,-4.799408343773731156e-02,-8.231435286051413946e-02
-2.849885714372793213e+06,4.656220736343225464e+06,3.287200821963187773e+06,-6.656395969773776233e-02,2.647400939093273731e-02,3.460787302269485027e-02
-2.849877245270736050e+06,4.656208642866167240e+06,3.287198081880595069e+06,-4.945251856940948570e-02,2.074257547374692978e-02,4.856429422748950037e-02
-2.849886879268331453e+06,4.656225625707993284e+06,3.287189606665465981e+06,6.722754661902027862e-02,-8.422218063702625879e-02,5.462401369721524985e-02
-2.849886800939562730e+06,4.656208382251936942e+06,3.287194054764951579e+06,2.069275641368698362e-02,6.266550042113772090e-02,-5.539300627863546350e-02
-2.849888890028683934e+06,4.656217539718127809e+06,3.287185409396560397e+06,1.196480398334291567e-01,6.522871217215013562e-02,2.967918984904656735e-02
-2.849877875998606440e+06,4.656207271332504228e+06,3.287199388434330467e+06,3.824640630756677429e-02,-3.083790776171612888e-02,-6.437331053132583532e-03
-2.849889449290454853e+06,4.656209699552183039e+06,3.287191878862395417e+06,2.875412684761097931e-02,-4.672278403142738484e-02,8.076638595643181179e-03
-2.849895472760292236e+06,4.656214173453265801e+06,3.287178977475318592e+06,5.561892731997300152e-03,4.072771755962379531e-02,6.011904290976045895e-02
-2.849887742059047800e+06,4.656216144030170515e+06,3.287196677891068626e+06,2.742357867281333336e-02,4.256503279956283525e-02,3.961839566037200083e-02
-2.849887249071711209e+06,4.656222722523220815e+06,3.287191494218989741e+06,-5.212362801701181381e-02,1.521310610636578825e-02,1.708494187271160369e-02
-2.849880362447501626e+06,4.656212097703711130e+06,3.287191167408461217e+06,-3.061139495647493061e-02,-3.435589755170038659e-03,-2.719641133498492194e-02
-2.849883085034728050e+06,4.656214551901057363e+06,3.287191979288731702e+06,7.489711365565177026e-02,8.142189409312312540e-03,2.194466886067989939e-02
-2.849890594784168061e+06,4.656209326375558972e+06,3.287185237443799619e+06,-2.487861377284679432e-02,-4.700332987028893461e-02,-1.913839999643959441e-02
-2.849893127311789896e+06,4.656212159937730059e+06,3.287194340431969613e+06,1.309277421298209523e-02,-2.367503522641480063e-02,-4.437630837560335717e-02
-2.849885563588476740e+06,4.656213638048699126e+06,3.287198777756567579e+06,6.930679543660971109e-02,-1.917959667713591346e-02,-7.884164611591448768e-02
-2.849890409086255822e+06,4.656210565104434267e+06,3.287188045204241760e+06,6.354108631682285624e-02,-2.616540937157093780e-02,-6.450437130047671774e-02
-2.849893902077711653e+06,4.656212591761552729e+06,3.287192095748712309e+06,6.973447677262693822e-02,-7.248678534487174030e-02,-4.109759976064526060e-02
-2.849885571859706193e+06,4.656210907578826882e+06,3.287190172411757521e+06,4.747816277409797059e-02,-2.500290495276145247e-02,-1.112041727616338432e-02
-2.849881086684657726e+06,4.656222166710221209e+06,3.287200485192701686e+06,5.273221092009817978e-03,-1.762290553671192958e-02,-4.202869086795417430e-02
-2.849887646408494562e+06,4.656207909083575942e+06,3.287187269623850938e+06,-1.399048814498568549e-02,2.604471162510511861e-02,-5.557158723173332565e-02
-2.849880650579375215e+06,4.656218007009648718e+06,3.287181762015103828e+06,1.567149181020296642e-02,-4.645274475154013982e-02,-2.972563272261383172e-02
-2.849885357119790278e+06,4.656215733285362832e+06,3.287192220955308061e+06,-1.074441595880924576e-02,-6.771695328101737937e-03,-3.911302937899509974e-02
