accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.015963611268958927e-01,1.089420626505335499e-01,-9.703950872259909488e+00
8.260112991137374960e-02,8.939044501555259981e-02,-9.702373837097240994e+00
8.731407873966397226e-02,1.016589886206224341e-01,-9.696859226037837232e+00
1.001313097893309773e-01,1.172818154468452251e-01,-9.696574477713493678e+00
1.047902755283639936e-01,1.044768129138387430e-01,-9.689282927383393584e+00
9.210677369144458504e-02,1.087631929309395007e-01,-9.692872714633413267e+00
1.104711462435243735e-01,1.052263706882227562e-01,-9.695410923578901219e+00
1.112211793217190020e-01,9.728377091575041158e-02,-9.693944549034329228e+00
1.071677235298041930e-01,9.817716841305890174e-02,-9.683298443248013143e+00
8.419406424719268200e-02,9.239379625419232023e-02,-9.690509554241003798e+00
1.178796454800909860e-01,1.206501747463638030e-01,-9.698889625101566381e+00
1.018914916477095811e-01,9.947445995081762027e-02,-9.684177174151471945e+00
1.091321471024536416e-01,1.078955841733062748e-01,-9.694492114806099181e+00
1.043229710953607475e-01,1.012462426907777685e-01,-9.696488504314476842e+00
9.126344850277434695e-02,1.169758072516266234e-01,-9.696764818014987242e+00
1.059787436037805120e-01,1.027761662579663449e-01,-9.696321444792589617e+00
7.919146359302360605e-02,1.010197593149832485e-01,-9.700602019040042379e+00
1.103181918953175938e-01,9.940988696124078428e-02,-9.687937187098118130e+00
1.107131414042968887e-01,1.022749581140662556e-01,-9.710899373466777007e+00
9.926974839000576867e-02,1.057892569733686616e-01,-9.688638814427287471e+00
9.826102617069519540e-02,1.051396873479435862e-01,-9.705671511530736595e+00
1.093072370784339276e-01,9.245566538522009825e-02,-9.697432561146529295e+00
1.000388268810023656e-01,9.956399260077243574e-02,-9.694962961595230411e+00
9.741139941317490669e-02,1.048140301992588896e-01,-9.701110279778777823e+00
1.012208287706876375e-01,9.611458138539794027e-02,-9.688686755193284483e+00
9.643587932228088466e-02,8.876596672507347519e-02,-9.704451679446052026e+00
9.019607903827828177e-02,9.798433174757859021e-02,-9.686205670474468121e+00
9.381335891613128142e-02,9.523373537404877798e-02,-9.690939023069377711e+00
1.095942597187159750e-01,9.021485653052650766e-02,-9.692930527628798032e+00
9.725000309017181599e-02,8.794447335690561141e-02,-9.703128682253012727e+00
9.076531083753668072e-02,1.065505776298882046e-01,-9.715076861141207942e+00
1.021314985347918508e-01,8.923314830228505634e-02,-9.687862196707165197e+00
1.117385824302438990e-01,1.110080296933375898e-01,-9.697851161725031588e+00
9.471489182015034591e-02,1.046276962657471665e-01,-9.684718007912696436e+00
1.058144583448206166e-01,1.052206441630256922e-01,-9.688678249581002433e+00
1.145641482228199476e-01,1.004848182952570584e-01,-9.685812298453321034e+00
1.119486443407418930e-01,1.046819113566228449e-01,-9.674941695955768139e+00
1.030961928863380894e-01,1.068857023454000826e-01,-9.699144221580791481e+00
1.033276661814428177e-01,9.702865639201767312e-02,-9.680435726262437868e+00
1.053296614044565149e-01,8.917393671553151824e-02,-9.681755935934598156e+00
8.588161065013463769e-02,1.000823289194652244e-01,-9.673842868244140192e+00
9.658794692348497690e-02,8.794220039755516749e-02,-9.700580512978852710e+00
1.029816587709546510e-01,8.422556543743733859e-02,-9.697866311863270639e+00
9.020654733018641791e-02,1.033935730090770749e-01,-9.672346105453399900e+00
9.491710753977943005e-02,8.765707064155725536e-02,-9.699129954207197812e+00
9.493830014155696384e-02,8.795492137499974494e-02,-9.700592671150817026e+00
1.166709267212048817e-01,8.969840007197460441e-02,-9.701089984137547972e+00
1.033412736879934235e-01,9.406418263672593205e-02,-9.692212712116672790e+00
9.816904305656151686e-02,9.654151198147968571e-02,-9.681559334466648181e+00
1.040510306990094225e-01,1.018051290839641493e-01,-9.702303607779255046e+00
9.172731623201853257e-02,1.087912175046358287e-01,-9.698873460634779065e+00
9.392283999484601908e-02,1.052508617163372545e-01,-9.698118061148736757e+00
8.853778900587558343e-02,1.130712721329078241e-01,-9.695881803436250834e+00
9.643641178981487982e-02,1.148739829866926160e-01,-9.708978651549516670e+00
1.042090883721000644e-01,9.791650798081073803e-02,-9.698327578738171084e+00
1.004154122256269571e-01,1.045411575683722616e-01,-9.696250353976498815e+00
9.317872879760043248e-02,9.521873888357385018e-02,-9.682514972114601548e+00
9.000014778229301071e-02,1.023368365878348091e-01,-9.697553222672942397e+00
8.499915131113264244e-02,8.839602135904693625e-02,-9.707301916666523312e+00
9.078036988079778158e-02,9.863615115331138272e-02,-9.691998958526983898e+00
1.032199945155279630e-01,1.031696998710025376e-01,-9.697272004983826577e+00
9.497977291282669321e-02,9.716385603612232025e-02,-9.689834819708122993e+00
1.044808796889104413e-01,9.870274710490087311e-02,-9.688884136081290066e+00
1.050686745243258197e-01,1.138920542558783389e-01,-9.705946922107120400e+00
9.920557163522249200e-02,9.738108354426078250e-02,-9.695410765215607185e+00
9.802863592933067083e-02,1.008308014772705263e-01,-9.689378518470270762e+00
9.459388211016234171e-02,1.056901901382108766e-01,-9.695095540767150410e+00
9.592518035544225774e-02,9.383937448436160955e-02,-9.700160787392315243e+00
9.849604957641119873e-02,1.067155248529966516e-01,-9.696119358055998561e+00
1.110692289142405642e-01,8.607071453891342039e-02,-9.686570956091960838e+00
9.492345088840639655e-02,8.741441076514686048e-02,-9.686624308143535700e+00
1.042949148928318803e-01,1.022418619821953562e-01,-9.695860311974275447e+00
1.059667533202564016e-01,1.002939870353167923e-01,-9.687588372062267084e+00
9.329018726612614554e-02,8.506929398285340005e-02,-9.692630318452684079e+00
